bb_idx,MT_deepHLApan_bind,MT_deepHLApan_immuno,WT_deepHLApan_bind,WT_deepHLApan_immuno
254,0.9135,0.9899,0.9473,0.9905
255,0.8406,0.9945,0.8197,0.992
256,0.5757,0.0695,0.9167,0.1126
257,0.4354,0.4728,0.6297,0.5964
258,0.989,0.9875,0.9885,0.9825
259,0.8905,0.991,0.863,0.9929
260,0.2649,0.0479,0.3249,0.071
261,0.2095,0.5157,0.2873,0.4871
262,0.9395,0.9859,0.9676,0.9764
263,0.7146,0.989,0.7464,0.9902
264,0.423,0.0329,0.373,0.0435
265,0.332,0.261,0.2766,0.1816
266,0.9815,0.9869,0.9658,0.9606
267,0.8814,0.9896,0.7792,0.9839
268,0.2246,0.225,0.2381,0.2714
269,0.1055,0.3436,0.0563,0.2135
270,0.7932,0.9804,0.5375,0.9617
271,0.9677,0.9827,0.9447,0.9853
272,0.4051,0.4373,0.3941,0.3061
273,0.2384,0.6371,0.1481,0.5876
274,0.3741,0.9917,0.3775,0.9855
275,0.717,0.992,0.833,0.9892
276,0.5003,0.4977,0.6404,0.3425
277,0.9819,0.6416,0.9799,0.3986
278,0.7959,0.9727,0.7985,0.9107
279,0.6686,0.9931,0.8785,0.9864
280,0.6556,0.7173,0.4989,0.7108
281,0.4881,0.656,0.4768,0.2747
282,0.7584,0.9871,0.6475,0.9608
283,0.831,0.996,0.7693,0.9913
284,0.6318,0.2413,0.541,0.2926
285,0.3183,0.8641,0.3058,0.7624
286,0.9164,0.9884,0.9812,0.9931
287,0.7315,0.9946,0.8312,0.994
288,0.302,0.5692,0.4244,0.5602
289,0.8974,0.9311,0.9389,0.8902
290,0.4752,0.9586,0.653,0.8854
291,0.9,0.7425,0.8493,0.7253
292,0.9922,0.9702,0.9894,0.9574
293,0.91,0.9445,0.8775,0.9697
294,0.9468,0.6803,0.783,0.8052
295,0.9229,0.9583,0.8798,0.9738
296,0.5664,0.9055,0.5535,0.9764
297,0.9049,0.716,0.651,0.8329
298,0.9893,0.9735,0.9586,0.9776
299,0.6474,0.9575,0.4966,0.993
300,0.6104,0.7936,0.336,0.878
301,0.9428,0.9798,0.8985,0.9839
302,0.9981,0.9833,0.9977,0.995
303,0.993,0.7252,0.9808,0.6658
304,0.9593,0.97,0.927,0.9642
305,0.7331,0.9524,0.7325,0.9788
306,0.7014,0.4216,0.721,0.3657
307,0.9783,0.7949,0.9388,0.8456
308,0.4654,0.9005,0.4579,0.9191
309,0.8346,0.5583,0.9048,0.4592
310,0.8164,0.8235,0.8816,0.8461
311,0.6564,0.9362,0.7593,0.903
312,0.8875,0.331,0.8887,0.3161
313,0.8874,0.9117,0.8287,0.8572
314,0.8216,0.9346,0.6922,0.8774
315,0.9463,0.3001,0.9428,0.2395
316,0.9665,0.8505,0.9506,0.8307
317,0.3932,0.8056,0.4021,0.8217
318,0.9658,0.3881,0.9366,0.3104
319,0.9413,0.8928,0.9563,0.8724
320,0.5916,0.9132,0.6576,0.8919
321,0.8234,0.2933,0.6976,0.2616
322,0.9862,0.8481,0.9835,0.8477
323,0.9926,0.7707,0.9952,0.813
324,0.8391,0.1922,0.7701,0.2595
325,0.8912,0.7342,0.8757,0.8125
326,0.6644,0.7165,0.6924,0.7322
327,0.9622,0.2679,0.9718,0.2705
328,0.9714,0.8664,0.9635,0.8127
329,0.5948,0.841,0.5909,0.8488
330,0.9293,0.6873,0.8532,0.4797
331,0.956,0.9348,0.9553,0.8848
332,0.4525,0.9754,0.5223,0.9398
333,0.9837,0.6906,0.9691,0.5963
334,0.959,0.9095,0.9658,0.8716
335,0.5043,0.9785,0.6107,0.9461
336,0.7355,0.5594,0.8774,0.4374
337,0.9937,0.9121,0.959,0.874
338,0.7512,0.9682,0.3923,0.9464
339,0.9476,0.6612,0.955,0.6224
340,0.9867,0.9533,0.9897,0.9431
341,0.6531,0.9722,0.6134,0.9611
342,0.8342,0.6225,0.7917,0.4708
343,0.9338,0.8906,0.8844,0.8632
344,0.671,0.9654,0.6283,0.9384
345,0.9198,0.5023,0.8657,0.5695
346,0.9519,0.8759,0.9165,0.9066
347,0.9971,0.9569,0.9982,0.9463
348,0.9139,0.4413,0.8437,0.4526
349,0.8897,0.8259,0.8163,0.877
350,0.8377,0.9061,0.7975,0.9335
351,0.8125,0.3315,0.776,0.2745
352,0.9338,0.7163,0.9277,0.7937
353,0.5671,0.9488,0.5613,0.9218
354,0.9231,0.3194,0.9265,0.2352
355,0.9571,0.7767,0.9655,0.762
356,0.4793,0.9747,0.5264,0.9464
357,0.8785,0.2591,0.8644,0.1169
358,0.9955,0.8657,0.9925,0.558
359,0.7495,0.9403,0.7197,0.7324
360,0.6758,0.2713,0.6643,0.2793
361,0.6261,0.5937,0.3554,0.624
362,0.2961,0.9284,0.0662,0.8746
363,0.666,0.3751,0.6735,0.4117
364,0.7179,0.6536,0.7867,0.6729
365,0.1726,0.8264,0.188,0.8543
366,0.6003,0.2572,0.5037,0.3072
367,0.7379,0.6475,0.7596,0.6679
368,0.3991,0.8021,0.4236,0.8042
369,0.2764,0.2353,0.2509,0.2243
370,0.4226,0.7126,0.4433,0.7272
371,0.1877,0.8266,0.2044,0.7919
372,0.4822,0.2175,0.4612,0.2187
373,0.839,0.7792,0.7795,0.7286
374,0.6227,0.8635,0.4991,0.8223
375,0.1231,0.3883,0.1217,0.4098
376,0.7158,0.8432,0.9035,0.8113
377,0.2253,0.8779,0.3282,0.9205
378,0.0545,0.5517,0.2135,0.4362
379,0.5878,0.8762,0.5578,0.8767
380,0.9945,0.914,0.4898,0.8661
381,0.1509,0.6056,0.4948,0.5241
382,0.6242,0.9315,0.7331,0.92
383,0.7646,0.9079,0.6623,0.8767
384,0.8925,0.5217,0.5655,0.5705
385,0.9835,0.8658,0.9192,0.8883
386,0.7351,0.9457,0.6065,0.9696
387,0.7694,0.5853,0.528,0.5345
388,0.9056,0.8378,0.8241,0.8728
389,0.4785,0.9525,0.4075,0.8377
390,0.173,0.4988,0.1101,0.5083
391,0.7052,0.7701,0.691,0.8927
392,0.2724,0.9282,0.265,0.8466
393,0.743,0.2754,0.6378,0.2968
394,0.9409,0.6105,0.938,0.7031
395,0.3797,0.7505,0.3991,0.6814
396,0.8268,0.333,0.7724,0.5481
397,0.8899,0.7858,0.8327,0.9297
398,0.5627,0.8833,0.4655,0.8152
399,0.942,0.5726,0.9077,0.6746
400,0.9415,0.9328,0.8456,0.9504
401,0.8651,0.9765,0.815,0.9789
402,0.9796,0.6038,0.8924,0.3628
403,0.9739,0.9502,0.957,0.9004
404,0.9164,0.9717,0.6891,0.844
405,0.6545,0.3572,0.6276,0.2727
406,0.9207,0.7774,0.8711,0.8219
407,0.6732,0.9004,0.5266,0.7779
408,0.376,0.5556,0.1439,0.4021
409,0.8531,0.9352,0.8296,0.8742
410,0.9842,0.9752,0.9809,0.9597
411,0.738,0.4997,0.581,0.3539
412,0.9493,0.9101,0.8845,0.8454
413,0.7244,0.9586,0.7221,0.9033
414,0.7018,0.3921,0.517,0.263
415,0.9621,0.8784,0.9303,0.8114
416,0.7471,0.9269,0.7215,0.8615
417,0.6289,0.2861,0.5265,0.1914
418,0.9146,0.6689,0.9147,0.5631
419,0.5873,0.9212,0.52,0.855
420,0.5174,0.4117,0.4527,0.1699
421,0.9282,0.8125,0.9148,0.6201
422,0.6765,0.9331,0.6061,0.8533
423,0.5958,0.1609,0.6013,0.1856
424,0.959,0.5841,0.9618,0.632
425,0.9367,0.8478,0.9567,0.831
426,0.9634,0.4036,0.9244,0.5139
427,0.9482,0.8758,0.9285,0.9249
428,0.7288,0.9486,0.4803,0.9453
429,0.7984,0.2048,0.8984,0.4023
430,0.9131,0.5922,0.9038,0.8699
431,0.445,0.9246,0.5102,0.965
432,0.9163,0.0735,0.7275,0.1702
433,0.9032,0.7516,0.9552,0.901
434,0.4765,0.2738,0.8767,0.5201
435,0.6749,0.6103,0.826,0.8262
436,0.9263,0.9854,0.8815,0.9848
437,0.998,0.6578,0.9783,0.7499
438,0.53,0.1347,0.4879,0.1539
439,0.7667,0.849,0.6514,0.892
440,0.7248,0.4703,0.5592,0.6775
441,0.793,0.7402,0.7177,0.8285
442,0.9284,0.9929,0.8815,0.9924
443,0.9992,0.7268,0.9904,0.8255
444,0.9572,0.1323,0.9578,0.1413
445,0.945,0.8501,0.9065,0.8849
446,0.7253,0.6323,0.7255,0.6547
447,0.9555,0.8687,0.9512,0.9115
448,0.9594,0.995,0.9501,0.9959
449,0.9784,0.8206,0.9525,0.8681
450,0.9698,0.1014,0.975,0.1361
451,0.8403,0.8331,0.7318,0.8745
452,0.7768,0.5757,0.6888,0.5681
453,0.9903,0.6395,0.9883,0.7301
454,0.983,0.9932,0.9787,0.9935
455,0.8724,0.7356,0.9171,0.7134
456,0.9691,0.0542,0.9777,0.1277
457,0.4805,0.8069,0.4509,0.7962
458,0.1624,0.4305,0.1162,0.4222
459,0.9633,0.4874,0.9588,0.5191
460,0.8702,0.99,0.7947,0.9856
461,0.9735,0.7329,0.9582,0.6593
462,0.9471,0.0448,0.9961,0.0771
463,0.8231,0.8245,0.5284,0.7545
464,0.4695,0.1718,0.1126,0.1717
465,0.8618,0.2402,0.7236,0.2383
466,0.6787,0.987,0.2909,0.98
467,0.8171,0.5172,0.5523,0.4456
468,0.3167,0.0389,0.883,0.019
469,0.5575,0.7801,0.2918,0.6369
470,0.5448,0.1104,0.4351,0.1274
471,0.8679,0.443,0.9903,0.4361
472,0.7664,0.9892,0.8156,0.9832
473,0.8508,0.583,0.8924,0.4816
474,0.8569,0.0254,0.7199,0.0318
475,0.963,0.7337,0.9621,0.7114
476,0.6056,0.138,0.6835,0.2366
477,0.9771,0.4048,0.9694,0.3239
478,0.9058,0.9741,0.7446,0.9821
479,0.9302,0.4362,0.8366,0.4151
480,0.2608,0.0048,0.3857,0.0046
481,0.6802,0.7684,0.6391,0.7782
482,0.9914,0.7023,0.9583,0.6862
483,0.7323,0.3085,0.6792,0.5024
484,0.9352,0.9942,0.9216,0.9929
485,0.888,0.5989,0.6618,0.538
486,0.3725,0.0083,0.3816,0.019
487,0.8041,0.7966,0.7384,0.8074
488,0.9997,0.3648,0.9992,0.5284
489,0.6839,0.3563,0.6815,0.3087
490,0.9974,0.9919,0.999,0.9887
491,0.9585,0.4342,0.9276,0.4571
492,0.6586,0.0133,0.5137,0.0219
493,0.9533,0.7765,0.9224,0.7334
494,0.9924,0.3199,0.9874,0.4224
495,0.8942,0.2538,0.7223,0.2568
496,0.973,0.9889,0.9369,0.9886
497,0.9505,0.3722,0.9256,0.4418
498,0.7829,0.0308,0.7362,0.0396
499,0.9309,0.8957,0.9391,0.8791
500,0.9899,0.3488,0.9879,0.3535
501,0.9873,0.2668,0.9796,0.2945
502,0.9964,0.9957,0.9957,0.9904
503,0.9807,0.628,0.9708,0.5072
504,0.3478,0.0388,0.2463,0.0376
505,0.8296,0.854,0.7762,0.8013
506,0.9662,0.4967,0.8963,0.5652
507,0.909,0.269,0.8436,0.2496
508,0.9386,0.9959,0.9242,0.9902
509,0.9987,0.6404,0.9978,0.4907
510,0.688,0.0568,0.7456,0.033
511,0.9045,0.9157,0.8737,0.8652
512,0.7524,0.5363,0.6598,0.5444
513,0.9737,0.7142,0.9632,0.6463
514,0.9891,0.9983,0.987,0.9909
515,0.9682,0.8625,0.9437,0.6911
516,0.8022,0.033,0.905,0.0252
517,0.8944,0.9164,0.9241,0.907
518,0.7877,0.9282,0.7217,0.8304
519,0.9563,0.8231,0.9799,0.8313
520,0.9833,0.9977,0.9565,0.9933
521,0.8896,0.8799,0.9431,0.8191
522,0.8293,0.0725,0.8419,0.0632
523,0.8748,0.8912,0.8791,0.9193
524,0.6116,0.7623,0.6194,0.7762
525,0.9621,0.7713,0.9606,0.9843
526,0.9845,0.9977,0.9472,0.9974
527,0.8761,0.8462,0.8666,0.8507
528,0.3046,0.1649,0.4903,0.1589
529,0.0917,0.8785,0.1138,0.87
530,0.1268,0.2963,0.3063,0.3102
531,0.9153,0.4874,0.8538,0.3962
532,0.4125,0.9876,0.5619,0.9799
533,0.7481,0.4275,0.8494,0.43
534,0.6088,0.264,0.5445,0.2185
535,0.4168,0.8361,0.3896,0.8268
536,0.5043,0.2423,0.3765,0.2087
537,0.9322,0.5642,0.8355,0.4201
538,0.5808,0.992,0.4962,0.9797
539,0.7715,0.5292,0.6952,0.4121
540,0.7129,0.146,0.6706,0.0937
541,0.7633,0.6349,0.6059,0.6701
542,0.7006,0.317,0.6605,0.3331
543,0.8993,0.2683,0.8405,0.346
544,0.971,0.9847,0.9572,0.9673
545,0.9245,0.411,0.9057,0.4052
546,0.8321,0.461,0.7008,0.4302
547,0.9887,0.9164,0.9835,0.9197
548,0.5844,0.7315,0.5641,0.704
549,0.9736,0.6379,0.9437,0.6875
550,0.9625,0.9962,0.9202,0.9887
551,0.8793,0.7729,0.8209,0.7222
552,0.3348,0.3252,0.1807,0.3069
553,0.8594,0.8474,0.7845,0.8658
554,0.9447,0.5255,0.815,0.6443
555,0.6637,0.3733,0.5715,0.4645
556,0.7084,0.994,0.547,0.9852
557,0.7773,0.6834,0.6528,0.7051
558,0.2472,0.2326,0.155,0.1771
559,0.39,0.8394,0.3173,0.856
560,0.9457,0.5972,0.9357,0.6166
561,0.7118,0.2832,0.596,0.3772
562,0.8791,0.9942,0.7051,0.9847
563,0.8793,0.6866,0.7893,0.7055
564,0.321,0.1671,0.3058,0.075
565,0.6569,0.9123,0.6504,0.8625
566,0.9013,0.4438,0.9142,0.7242
567,0.544,0.4,0.4753,0.5604
568,0.6583,0.9963,0.6578,0.9922
569,0.5237,0.8344,0.4564,0.885
570,0.623,0.0881,0.7288,0.0435
571,0.9649,0.8298,0.9612,0.8155
572,0.8085,0.1404,0.9575,0.3751
573,0.674,0.3022,0.7685,0.3506
574,0.9627,0.9868,0.9433,0.9826
575,0.8221,0.5616,0.9032,0.5535
576,0.8956,0.1241,0.9968,0.1126
577,0.9004,0.9236,0.8933,0.8938
578,0.7982,0.2252,0.5648,0.1694
579,0.9922,0.6397,0.9246,0.4551
580,0.959,0.9947,0.959,0.9911
581,0.956,0.635,0.9939,0.6507
582,0.4229,0.1807,0.6551,0.0814
583,0.6773,0.9466,0.7219,0.8605
584,0.7105,0.2437,0.76,0.1597
585,0.5361,0.5389,0.6893,0.4202
586,0.6386,0.992,0.7068,0.9843
587,0.802,0.698,0.8767,0.5281
588,0.073,0.0875,0.0915,0.0295
589,0.2954,0.9295,0.4064,0.8236
590,0.9258,0.1983,0.9554,0.1338
591,0.2544,0.4446,0.2086,0.3903
592,0.4551,0.991,0.4142,0.9845
593,0.3702,0.6388,0.4437,0.5663
594,0.5092,0.1325,0.5803,0.0737
595,0.6967,0.8911,0.6728,0.7638
596,0.4765,0.1673,0.6152,0.1506
597,0.8725,0.304,0.832,0.3224
598,0.6315,0.9926,0.6098,0.9848
599,0.7403,0.6199,0.7055,0.4986
600,0.5943,0.1398,0.6213,0.0866
601,0.9858,0.8948,0.9865,0.8066
602,0.6912,0.1248,0.6793,0.0722
603,0.9396,0.6281,0.9237,0.6846
604,0.9011,0.9875,0.9054,0.9792
605,0.9279,0.7043,0.9371,0.6495
606,0.3089,0.1656,0.3342,0.1168
607,0.4504,0.9018,0.5582,0.8283
608,0.6263,0.1505,0.6923,0.2105
609,0.6982,0.4917,0.8378,0.5456
610,0.8565,0.9913,0.9229,0.9876
611,0.9994,0.6986,0.9998,0.7082
612,0.8606,0.17,0.9434,0.1891
613,0.8686,0.8358,0.9443,0.888
614,0.463,0.2905,0.5678,0.3817
615,0.9244,0.6172,0.935,0.7031
616,0.8047,0.9864,0.8542,0.992
617,0.9553,0.5046,0.9876,0.5851
618,0.9451,0.1725,0.9618,0.0618
619,0.9706,0.7551,0.9703,0.7585
620,0.9163,0.4102,0.9212,0.2419
621,0.9936,0.4548,0.9932,0.6135
622,0.9487,0.9776,0.9369,0.978
623,0.9594,0.5045,0.9625,0.5599
624,0.7607,0.0574,0.7073,0.0668
625,0.751,0.8668,0.6679,0.901
626,0.6177,0.7636,0.569,0.8702
627,0.8555,0.2935,0.8517,0.3895
628,0.7857,0.9913,0.6841,0.9925
629,0.7864,0.5002,0.6237,0.6128
630,0.7086,0.1038,0.6448,0.1973
631,0.7224,0.7629,0.6793,0.8723
632,0.529,0.6648,0.4945,0.899
633,0.9048,0.5355,0.872,0.6183
634,0.9548,0.9965,0.9314,0.9972
635,0.7256,0.6367,0.6389,0.7299
636,0.5437,0.2419,0.4526,0.2409
637,0.3205,0.9671,0.2756,0.9853
638,0.4768,0.7961,0.5709,0.8556
639,0.7677,0.7537,0.7714,0.8681
640,0.8894,0.9972,0.9589,0.9982
641,0.4391,0.922,0.4456,0.9347
