subset,isic_id,image_path,target,level,source,qbar
ITB-LQ,ISIC_4516835,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4516835.jpg,0,heavy,isic2020,0.31605999999999995
ITB-LQ,ISIC_0256926,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0256926.jpg,0,heavy,isic2020,0.3984
ITB-LQ,ISIC_6204970,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6204970.jpg,0,heavy,isic2020,0.35902
ITB-LQ,ISIC_0316025,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0316025.jpg,0,heavy,isic2020,0.3681
ITB-LQ,ISIC_5385299,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5385299.jpg,0,heavy,isic2020,0.36932
ITB-LQ,ISIC_2158871,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2158871.jpg,0,heavy,isic2020,0.3258599999999999
ITB-LQ,ISIC_3686179,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3686179.jpg,0,heavy,isic2020,0.33738
ITB-LQ,ISIC_3062820,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3062820.jpg,0,heavy,isic2020,0.37562
ITB-LQ,ISIC_1885174,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1885174.jpg,0,heavy,isic2020,0.35022
ITB-LQ,ISIC_4805419,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4805419.jpg,0,heavy,isic2020,0.33236
ITB-LQ,ISIC_8822452,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8822452.jpg,0,heavy,isic2020,0.29488
ITB-LQ,ISIC_9637306,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9637306.jpg,0,heavy,isic2020,0.28634000000000004
ITB-LQ,ISIC_4487743,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4487743.jpg,0,heavy,isic2020,0.32956
ITB-LQ,ISIC_9041897,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9041897.jpg,0,heavy,isic2020,0.3833
ITB-LQ,ISIC_1810790,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1810790.jpg,0,heavy,isic2020,0.05398000000000001
ITB-LQ,ISIC_3425896,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3425896.jpg,0,heavy,isic2020,0.31931999999999994
ITB-LQ,ISIC_6649866,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6649866.jpg,0,heavy,isic2020,0.1389
ITB-LQ,ISIC_1010991,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1010991.jpg,0,heavy,isic2020,0.29847999999999997
ITB-LQ,ISIC_4981759,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4981759.jpg,0,heavy,isic2020,0.22252
ITB-LQ,ISIC_4686274,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4686274.jpg,0,heavy,isic2020,0.31028
ITB-LQ,ISIC_0549211,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0549211.jpg,0,heavy,isic2020,0.33172
ITB-LQ,ISIC_0499801,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0499801.jpg,0,heavy,isic2020,0.3447
ITB-LQ,ISIC_4192466,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4192466.jpg,0,heavy,isic2020,0.36832
ITB-LQ,ISIC_8166690,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8166690.jpg,0,heavy,isic2020,0.16082000000000002
ITB-LQ,ISIC_3821630,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3821630.jpg,0,heavy,isic2020,0.28858
ITB-LQ,ISIC_5037370,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5037370.jpg,0,heavy,isic2020,0.275
ITB-LQ,ISIC_3440759,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3440759.jpg,1,heavy,isic2020,0.2171
ITB-LQ,ISIC_8329040,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8329040.jpg,0,heavy,isic2020,0.0843
ITB-LQ,ISIC_2574344,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2574344.jpg,0,heavy,isic2020,0.2888
ITB-LQ,ISIC_2837581,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2837581.jpg,1,heavy,isic2020,0.22128
ITB-LQ,ISIC_4869740,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4869740.jpg,0,heavy,isic2020,0.23718
ITB-LQ,ISIC_2168953,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2168953.jpg,0,heavy,isic2020,0.3611
ITB-LQ,ISIC_8582918,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8582918.jpg,0,heavy,isic2020,0.23087999999999997
ITB-LQ,ISIC_4964478,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4964478.jpg,0,heavy,isic2020,0.36626000000000003
ITB-LQ,ISIC_9383110,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9383110.jpg,0,heavy,isic2020,0.36412
ITB-LQ,ISIC_8067080,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8067080.jpg,0,heavy,isic2020,0.35688
ITB-LQ,ISIC_8325226,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8325226.jpg,1,heavy,isic2020,0.13054
ITB-LQ,ISIC_3003397,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3003397.jpg,0,heavy,isic2020,0.37848
ITB-LQ,ISIC_5251429,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5251429.jpg,0,heavy,isic2020,0.37592000000000003
ITB-LQ,ISIC_9280358,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9280358.jpg,0,heavy,isic2020,0.26847999999999994
ITB-LQ,ISIC_9107811,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9107811.jpg,0,heavy,isic2020,0.38604000000000005
ITB-LQ,ISIC_6924502,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6924502.jpg,0,heavy,isic2020,0.36564
ITB-LQ,ISIC_5316803,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5316803.jpg,0,heavy,isic2020,0.37470000000000003
ITB-LQ,ISIC_4976513,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4976513.jpg,0,heavy,isic2020,0.13155999999999998
ITB-LQ,ISIC_5321539,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5321539.jpg,0,heavy,isic2020,0.39542
ITB-LQ,ISIC_7988735,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7988735.jpg,0,heavy,isic2020,0.30545999999999995
ITB-LQ,ISIC_1692206,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1692206.jpg,0,heavy,isic2020,0.35181999999999997
ITB-LQ,ISIC_5802768,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5802768.jpg,0,heavy,isic2020,0.34838
ITB-LQ,ISIC_7820042,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7820042.jpg,0,heavy,isic2020,0.27718
ITB-LQ,ISIC_1497992,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1497992.jpg,0,heavy,isic2020,0.27904
ITB-LQ,ISIC_1329932,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1329932.jpg,0,heavy,isic2020,0.36872000000000005
ITB-LQ,ISIC_8699846,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8699846.jpg,0,heavy,isic2020,0.21308
ITB-LQ,ISIC_0433647,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0433647.jpg,0,heavy,isic2020,0.36856
ITB-LQ,ISIC_3742028,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3742028.jpg,0,heavy,isic2020,0.39176
ITB-LQ,ISIC_1578194,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1578194.jpg,0,heavy,isic2020,0.27802000000000004
ITB-LQ,ISIC_8475324,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8475324.jpg,0,heavy,isic2020,0.34531999999999996
ITB-LQ,ISIC_9926931,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9926931.jpg,0,heavy,isic2020,0.3986
ITB-LQ,ISIC_2580689,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2580689.jpg,0,heavy,isic2020,0.30766
ITB-LQ,ISIC_9713959,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9713959.jpg,0,heavy,isic2020,0.39025999999999994
ITB-LQ,ISIC_2365225,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2365225.jpg,0,heavy,isic2020,0.39124000000000003
ITB-LQ,ISIC_4265307,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4265307.jpg,0,heavy,isic2020,0.31636
ITB-LQ,ISIC_9901014,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9901014.jpg,0,heavy,isic2020,0.39552
ITB-LQ,ISIC_4147166,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4147166.jpg,0,heavy,isic2020,0.38638
ITB-LQ,ISIC_9011718,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9011718.jpg,0,heavy,isic2020,0.27296000000000004
ITB-LQ,ISIC_5047172,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5047172.jpg,0,heavy,isic2020,0.3962399999999999
ITB-LQ,ISIC_4893602,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4893602.jpg,0,heavy,isic2020,0.18066
ITB-LQ,ISIC_5667403,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5667403.jpg,0,heavy,isic2020,0.3679
ITB-LQ,ISIC_3707360,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3707360.jpg,0,heavy,isic2020,0.27315999999999996
ITB-LQ,ISIC_6299687,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6299687.jpg,0,heavy,isic2020,0.29256
ITB-LQ,ISIC_5037592,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5037592.jpg,0,heavy,isic2020,0.15174
ITB-LQ,ISIC_4221726,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4221726.jpg,0,heavy,isic2020,0.38644
ITB-LQ,ISIC_0909402,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0909402.jpg,0,heavy,isic2020,0.31208
ITB-LQ,ISIC_7222570,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7222570.jpg,0,heavy,isic2020,0.34550000000000003
ITB-LQ,ISIC_7944732,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7944732.jpg,0,heavy,isic2020,0.24555999999999994
ITB-LQ,ISIC_2832595,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2832595.jpg,0,heavy,isic2020,0.33506
ITB-LQ,ISIC_1366993,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1366993.jpg,0,heavy,isic2020,0.37288
ITB-LQ,ISIC_2558816,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2558816.jpg,0,heavy,isic2020,0.3588
ITB-LQ,ISIC_4866649,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4866649.jpg,0,heavy,isic2020,0.38976
ITB-LQ,ISIC_7571402,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7571402.jpg,0,heavy,isic2020,0.38771999999999995
ITB-LQ,ISIC_8248707,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8248707.jpg,0,heavy,isic2020,0.39998
ITB-LQ,ISIC_0444347,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0444347.jpg,0,heavy,isic2020,0.34906000000000004
ITB-LQ,ISIC_0599755,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0599755.jpg,0,heavy,isic2020,0.39594000000000007
ITB-LQ,ISIC_8609756,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8609756.jpg,1,heavy,isic2020,0.31284
ITB-LQ,ISIC_1851605,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1851605.jpg,0,heavy,isic2020,0.3534
ITB-LQ,ISIC_0653706,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0653706.jpg,0,heavy,isic2020,0.38236
ITB-LQ,ISIC_9059686,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9059686.jpg,0,heavy,isic2020,0.37246
ITB-LQ,ISIC_8292179,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8292179.jpg,0,heavy,isic2020,0.37286
ITB-LQ,ISIC_2155496,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2155496.jpg,0,heavy,isic2020,0.35985999999999996
ITB-LQ,ISIC_4085552,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4085552.jpg,0,heavy,isic2020,0.25780000000000003
ITB-LQ,ISIC_9558222,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9558222.jpg,0,heavy,isic2020,0.36446
ITB-LQ,ISIC_4789377,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4789377.jpg,0,heavy,isic2020,0.34786
ITB-LQ,ISIC_1005038,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1005038.jpg,0,heavy,isic2020,0.36795999999999995
ITB-LQ,ISIC_4853597,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4853597.jpg,0,heavy,isic2020,0.39686000000000005
ITB-LQ,ISIC_8973325,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8973325.jpg,0,heavy,isic2020,0.39581999999999995
ITB-LQ,ISIC_6172565,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6172565.jpg,0,heavy,isic2020,0.39327999999999996
ITB-LQ,ISIC_4230049,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4230049.jpg,1,heavy,isic2020,0.38201999999999997
ITB-LQ,ISIC_9669830,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9669830.jpg,0,heavy,isic2020,0.39990000000000003
ITB-LQ,ISIC_2833156,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2833156.jpg,0,heavy,isic2020,0.36641999999999997
ITB-LQ,ISIC_3289098,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3289098.jpg,0,heavy,isic2020,0.36324
ITB-LQ,ISIC_0570393,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0570393.jpg,0,heavy,isic2020,0.38151999999999997
ITB-LQ,ISIC_2094603,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2094603.jpg,0,heavy,isic2020,0.368
ITB-LQ,ISIC_1137178,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1137178.jpg,0,heavy,isic2020,0.37874
ITB-LQ,ISIC_7058883,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7058883.jpg,0,heavy,isic2020,0.39542
ITB-LQ,ISIC_5907599,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5907599.jpg,0,heavy,isic2020,0.35173999999999994
ITB-LQ,ISIC_8498777,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8498777.jpg,0,heavy,isic2020,0.39215999999999995
ITB-LQ,ISIC_3303825,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3303825.jpg,0,heavy,isic2020,0.27576
ITB-LQ,ISIC_1508215,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1508215.jpg,0,heavy,isic2020,0.31472
ITB-LQ,ISIC_5535938,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5535938.jpg,0,heavy,isic2020,0.3421
ITB-LQ,ISIC_8121679,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8121679.jpg,0,heavy,isic2020,0.34098
ITB-LQ,ISIC_9712403,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9712403.jpg,0,heavy,isic2020,0.12578
ITB-LQ,ISIC_3985031,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3985031.jpg,1,heavy,isic2020,0.36738000000000004
ITB-LQ,ISIC_6207688,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6207688.jpg,0,heavy,isic2020,0.38017999999999996
ITB-LQ,ISIC_2255411,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2255411.jpg,1,heavy,isic2020,0.2884
ITB-LQ,ISIC_3640401,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3640401.jpg,0,heavy,isic2020,0.37398000000000003
ITB-LQ,ISIC_8770401,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8770401.jpg,0,heavy,isic2020,0.34731999999999996
ITB-LQ,ISIC_2817348,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2817348.jpg,0,heavy,isic2020,0.37346
ITB-LQ,ISIC_3114532,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3114532.jpg,0,heavy,isic2020,0.36262
ITB-LQ,ISIC_7387428,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7387428.jpg,0,heavy,isic2020,0.3201
ITB-LQ,ISIC_4312138,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4312138.jpg,0,heavy,isic2020,0.28622000000000003
ITB-LQ,ISIC_7373794,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7373794.jpg,0,heavy,isic2020,0.37983999999999996
ITB-LQ,ISIC_2749059,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2749059.jpg,0,heavy,isic2020,0.39862000000000003
ITB-LQ,ISIC_2588140,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2588140.jpg,0,heavy,isic2020,0.38495999999999997
ITB-LQ,ISIC_4799881,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4799881.jpg,0,heavy,isic2020,0.23728
ITB-LQ,ISIC_1419399,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1419399.jpg,0,heavy,isic2020,0.39554
ITB-LQ,ISIC_9851634,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9851634.jpg,0,heavy,isic2020,0.3161
ITB-LQ,ISIC_2712447,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2712447.jpg,0,heavy,isic2020,0.15442
ITB-LQ,ISIC_9623772,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9623772.jpg,0,heavy,isic2020,0.35178000000000004
ITB-LQ,ISIC_7183541,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7183541.jpg,0,heavy,isic2020,0.23706
ITB-LQ,ISIC_5307086,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5307086.jpg,0,heavy,isic2020,0.24362
ITB-LQ,ISIC_4763436,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4763436.jpg,0,heavy,isic2020,0.3012
ITB-LQ,ISIC_2461027,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2461027.jpg,0,heavy,isic2020,0.39996
ITB-LQ,ISIC_3865993,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3865993.jpg,0,heavy,isic2020,0.27052
ITB-LQ,ISIC_9151409,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9151409.jpg,0,heavy,isic2020,0.36856000000000005
ITB-LQ,ISIC_3946019,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3946019.jpg,0,heavy,isic2020,0.23421999999999996
ITB-LQ,ISIC_9697718,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9697718.jpg,0,heavy,isic2020,0.24037999999999998
ITB-LQ,ISIC_1378910,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1378910.jpg,0,heavy,isic2020,0.22806
ITB-LQ,ISIC_9775904,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9775904.jpg,0,heavy,isic2020,0.30805999999999994
ITB-LQ,ISIC_9796680,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9796680.jpg,0,heavy,isic2020,0.39276
ITB-LQ,ISIC_1834416,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1834416.jpg,0,heavy,isic2020,0.22044000000000002
ITB-LQ,ISIC_0398140,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0398140.jpg,0,heavy,isic2020,0.31026
ITB-LQ,ISIC_2002463,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2002463.jpg,0,heavy,isic2020,0.20135999999999998
ITB-LQ,ISIC_2032658,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2032658.jpg,0,heavy,isic2020,0.35962000000000005
ITB-LQ,ISIC_3880938,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3880938.jpg,0,heavy,isic2020,0.39996
ITB-LQ,ISIC_5283467,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5283467.jpg,0,heavy,isic2020,0.39598000000000005
ITB-LQ,ISIC_5829938,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5829938.jpg,1,heavy,isic2020,0.37866
ITB-LQ,ISIC_7782274,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7782274.jpg,0,heavy,isic2020,0.28076
ITB-LQ,ISIC_7067750,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7067750.jpg,0,heavy,isic2020,0.39108
ITB-LQ,ISIC_6652094,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6652094.jpg,0,heavy,isic2020,0.31814000000000003
ITB-LQ,ISIC_0951791,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0951791.jpg,0,heavy,isic2020,0.27694
ITB-LQ,ISIC_5621310,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5621310.jpg,0,heavy,isic2020,0.3677
ITB-LQ,ISIC_6434192,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6434192.jpg,0,heavy,isic2020,0.33956
ITB-LQ,ISIC_5758388,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5758388.jpg,1,heavy,isic2020,0.31670000000000004
ITB-LQ,ISIC_1437974,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1437974.jpg,0,heavy,isic2020,0.3956
ITB-LQ,ISIC_4280886,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4280886.jpg,0,heavy,isic2020,0.31108
ITB-LQ,ISIC_7581388,D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7581388.jpg,0,heavy,isic2020,0.28688
