image_path,subset,qbar,target,p_mc,p_det,p_ts
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0164809.jpg,ITB-LQ,0.34654,0,0.09372536092996597,0.0003524740459397435,0.03164494037628174
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1897327.jpg,ITB-LQ,0.2366199999999999,0,0.12253282219171524,0.0003539178869687021,0.03169890120625496
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6577767.jpg,ITB-LQ,0.3316599999999999,0,0.12749893963336945,0.0003638381604105234,0.03206619992852211
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6143929.jpg,ITB-LQ,0.20986,0,0.9963434338569641,0.9995607733726501,0.9653217196464539
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7070020.jpg,ITB-LQ,0.2203,1,0.9861623644828796,0.9996272325515747,0.9676074385643005
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1266695.jpg,ITB-LQ,0.44946,0,0.05654381588101387,0.0003628829726949334,0.0320311039686203
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0358490.jpg,ITB-LQ,0.44932,0,0.09065091609954834,0.00033319968497380614,0.030911516398191452
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6808543.jpg,ITB-LQ,0.40336,0,0.09281670302152634,0.0003904305922333151,0.0330221951007843
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1747531.jpg,ITB-LQ,0.42882,0,0.15733015537261963,0.00037979258922860026,0.03264458104968071
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3394520.jpg,ITB-LQ,0.36144,1,0.08202967047691345,0.000357346172677353,0.031826529651880264
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6024651.jpg,ITB-LQ,0.33934,0,0.10518151521682739,0.00034508536919020116,0.031366679817438126
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5642824.jpg,ITB-LQ,0.44294,1,0.08698982000350952,0.00034145338577218354,0.031228594481945038
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4362713.jpg,ITB-LQ,0.31618,1,0.11275704205036163,0.00036289423587732017,0.03203151375055313
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6978517.jpg,ITB-LQ,0.4025399999999999,0,0.025731921195983887,0.00036608753725886345,0.03214864805340767
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4409067.jpg,ITB-LQ,0.3812399999999999,0,0.039883654564619064,0.0003412142104934901,0.031219474971294403
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2255411.jpg,ITB-LQ,0.2884,1,0.11206262558698654,0.0003561957273632288,0.031783778220415115
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4119189.jpg,ITB-LQ,0.4248999999999999,0,0.07002901285886765,0.00035179025144316256,0.03161933645606041
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8167374.jpg,ITB-LQ,0.4271999999999999,1,0.088538259267807,0.00035174060030840337,0.03161747381091118
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6544051.jpg,ITB-LQ,0.30574,0,0.08262956142425537,0.00035051381564699113,0.03157145157456398
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1974094.jpg,ITB-LQ,0.3795799999999999,0,0.1062801405787468,0.00035645373282022774,0.031793367117643356
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5193576.jpg,ITB-LQ,0.40038,0,0.14748087525367737,0.0003474340192042291,0.03145551308989525
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7166317.jpg,ITB-LQ,0.4065399999999999,0,0.1183851882815361,0.00034405261976644397,0.031327493488788605
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1567899.jpg,ITB-LQ,0.43544,0,0.04438979551196098,0.00038228300400078297,0.03273353725671768
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9955935.jpg,ITB-LQ,0.3808399999999999,0,0.07669899612665176,0.0003673172031994909,0.032193586230278015
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0280943.jpg,ITB-LQ,0.39366,0,0.0275751743465662,0.0004154228372499347,0.03388581424951553
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6155981.jpg,ITB-LQ,0.42294,0,0.08303311467170715,0.0003427797055337578,0.03127911686897278
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1274228.jpg,ITB-LQ,0.3984,0,0.053800106048583984,0.00033168820664286613,0.03085293620824814
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7555347.jpg,ITB-LQ,0.3673999999999999,0,0.11517759412527084,0.00035476070479489863,0.03173034265637398
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4212044.jpg,ITB-LQ,0.44684,0,0.05895954370498657,0.0003560017212294042,0.03177656605839729
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8883692.jpg,ITB-LQ,0.43264,0,0.0935390517115593,0.0003521183680277318,0.031631626188755035
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2423162.jpg,ITB-LQ,0.4247999999999999,0,0.11034411191940308,0.0003622233052738011,0.032006826251745224
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2155898.jpg,ITB-LQ,0.3965,0,0.8192288279533386,0.9995601773262024,0.9653011560440063
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5410512.jpg,ITB-LQ,0.38156,0,0.05362891033291817,0.00035859248600900173,0.03187272697687149
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8219342.jpg,ITB-LQ,0.4481799999999999,0,0.9976873397827148,0.9995744824409485,0.9657729268074036
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3148443.jpg,ITB-LQ,0.42644,0,0.08626480400562286,0.0003457098500803113,0.03139032796025276
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6204970.jpg,ITB-LQ,0.35902,0,0.1567893624305725,0.00034388829953968525,0.03132126107811928
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1637536.jpg,ITB-LQ,0.36354,0,0.9953143000602722,0.999584972858429,0.9661272168159485
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4748023.jpg,ITB-LQ,0.43468,0,0.06673189252614975,0.00033103645546361804,0.030827632173895836
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4469476.jpg,ITB-LQ,0.1626,1,0.015083073638379574,0.0003595646994654089,0.031908709555864334
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4026808.jpg,ITB-LQ,0.3502999999999999,0,0.1159948855638504,0.00035082269459962845,0.031583044677972794
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9870885.jpg,ITB-LQ,0.25172,1,0.0752355083823204,0.0003666776465252042,0.032170217484235764
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2033237.jpg,ITB-LQ,0.25964,1,0.9722170233726501,0.9995869994163513,0.9661983251571655
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7649260.jpg,ITB-LQ,0.3408,0,0.09501516819000244,0.0003517711302265525,0.031618621200323105
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5030416.jpg,ITB-LQ,0.4163599999999999,0,0.0835816040635109,0.00034628031426109374,0.03141191601753235
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4916704.jpg,ITB-LQ,0.19938,1,0.10755665600299835,0.0003697244101203978,0.03228132054209709
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4230049.jpg,ITB-LQ,0.3820199999999999,1,0.6441750526428223,0.897429883480072,0.7177506685256958
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6135602.jpg,ITB-LQ,0.41346,0,0.052661310881376266,0.00034378081909380853,0.03131718188524246
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9547725.jpg,ITB-LQ,0.4434999999999999,1,0.10134316980838776,0.0003399222914595157,0.03117012232542038
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7406225.jpg,ITB-LQ,0.3861799999999999,0,0.07836169004440308,0.00034475442953407764,0.031354133039712906
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9531527.jpg,ITB-LQ,0.44234,0,0.11608531326055527,0.0003466149209998548,0.03142458200454712
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9611429.jpg,ITB-LQ,0.41956,0,0.0701783299446106,0.00034294440411031246,0.03128538653254509
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3342474.jpg,ITB-LQ,0.32824,0,0.10474544763565063,0.00035170072806067765,0.031615979969501495
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5919621.jpg,ITB-LQ,0.40722,0,0.08529642224311829,0.0003508136433083564,0.03158270940184593
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0273664.jpg,ITB-LQ,0.38604,0,0.05499155446887016,0.00035113049671053886,0.031594596803188324
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5210063.jpg,ITB-LQ,0.34302,0,0.09397490322589874,0.00035344314528629184,0.03168116882443428
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5125960.jpg,ITB-LQ,0.4485599999999999,0,0.11244399845600128,0.0003416495455894619,0.0312360767275095
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0256926.jpg,ITB-LQ,0.3984,0,0.07795977592468262,0.00034494130522944033,0.03136121854186058
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8832341.jpg,ITB-LQ,0.3962,0,0.05443725734949112,0.00035060601658187807,0.03157491236925125
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3431020.jpg,ITB-LQ,0.3349799999999999,0,0.11333497613668442,0.00038863663212396204,0.03295894339680672
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1070883.jpg,ITB-LQ,0.37362,0,0.060762252658605576,0.00034832488745450974,0.031489111483097076
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0746397.jpg,ITB-LQ,0.4427200000000001,0,0.11773072928190231,0.00034884564229287207,0.031508732587099075
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3440759.jpg,ITB-LQ,0.2171,1,0.07947608828544617,0.0003796850796788931,0.0326407328248024
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5271116.jpg,ITB-LQ,0.39546,0,0.06866379082202911,0.00034176159533672035,0.031240345910191536
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1142962.jpg,ITB-LQ,0.4468999999999999,0,0.07276876270771027,0.00033793237525969744,0.031093884259462357
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8961394.jpg,ITB-LQ,0.34934,0,0.09613144397735596,0.00038012253935448825,0.03265637531876564
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6906476.jpg,ITB-LQ,0.4493999999999999,0,0.07521584630012512,0.0003451416559983045,0.03136880695819855
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7215575.jpg,ITB-LQ,0.43054,0,0.03236997872591019,0.0003630992432590574,0.03203905001282692
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3144222.jpg,ITB-LQ,0.4431,1,0.08890780061483383,0.0003350609040353447,0.030983418226242065
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2320481.jpg,ITB-LQ,0.39418,1,0.17450669407844543,0.0003511656541377306,0.03159591183066368
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5980105.jpg,ITB-LQ,0.30284,0,0.10410719364881516,0.0003564731159713119,0.03179408982396126
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2066127.jpg,ITB-LQ,0.4137399999999999,0,0.09748849272727966,0.00035465354449115694,0.03172634169459343
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6060741.jpg,ITB-LQ,0.13294,0,0.13536517322063446,0.000404005782911554,0.03349526226520538
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7192157.jpg,ITB-LQ,0.27696,0,0.01671639084815979,0.00036119247670285404,0.03196883946657181
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6392461.jpg,ITB-LQ,0.34652,1,0.057419389486312866,0.00034822692396119237,0.0314854197204113
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3286186.jpg,ITB-LQ,0.2325399999999999,1,0.9962127804756165,0.999567449092865,0.9655421376228333
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7380364.jpg,ITB-LQ,0.4400199999999999,0,0.08769728988409042,0.0003307645092718303,0.030817067250609398
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9400054.jpg,ITB-LQ,0.37998,0,0.07884407788515091,0.00034019476152025163,0.03118053451180458
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5886168.jpg,ITB-LQ,0.43742,0,0.08491555601358414,0.00034222815884277225,0.03125813230872154
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2588140.jpg,ITB-LQ,0.3849599999999999,0,0.08508177101612091,0.0003601962816901505,0.03193206712603569
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6927916.jpg,ITB-LQ,0.4348999999999999,0,0.11634834110736847,0.0003556360607035458,0.031762946397066116
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1849151.jpg,ITB-LQ,0.4236,0,0.02517041377723217,0.0003478915023151785,0.031472768634557724
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4967586.jpg,ITB-LQ,0.4345,1,0.06777320057153702,0.00033742887899279594,0.031074563041329384
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2164811.jpg,ITB-LQ,0.3431999999999999,0,0.07991387695074081,0.00034613211755640805,0.03140630945563316
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0726626.jpg,ITB-LQ,0.43316,0,0.11846642941236496,0.0003584998776204884,0.031869303435087204
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4538207.jpg,ITB-LQ,0.4467,0,0.15958057343959808,0.0003514091076795012,0.03160504624247551
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7249063.jpg,ITB-LQ,0.38062,0,0.10899939388036728,0.00033750321017578244,0.031077411025762558
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3416107.jpg,ITB-LQ,0.42216,1,0.11084424704313278,0.0003593929868657142,0.031902361661195755
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0409172.jpg,ITB-LQ,0.36484,0,0.06651867181062698,0.00036276434548199177,0.032026734203100204
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9264072.jpg,ITB-LQ,0.4484999999999999,0,0.12041188776493073,0.00035902176750823855,0.03188862279057503
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5175471.jpg,ITB-LQ,0.44934,0,0.06567651033401489,0.00035399344051256776,0.03170172870159149
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4927895.jpg,ITB-LQ,0.4450199999999999,0,0.07534827291965485,0.00033012975472956896,0.03079237788915634
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8945314.jpg,ITB-LQ,0.4406,0,0.07036305218935013,0.0003455077239777893,0.03138267621397972
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2693385.jpg,ITB-LQ,0.40356,0,0.07621227949857712,0.00035256845876574516,0.03164847567677498
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6660516.jpg,ITB-LQ,0.42606,0,0.10792093724012375,0.0003579474869184196,0.03184882923960686
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8319711.jpg,ITB-LQ,0.12608,0,0.008604861795902252,0.00035928990109823644,0.03189854696393013
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9766593.jpg,ITB-LQ,0.37922,0,0.9281598925590515,0.9996837377548218,0.9697545766830444
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7887321.jpg,ITB-LQ,0.4219,0,0.045229729264974594,0.0003454292891547084,0.031379710882902145
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0821121.jpg,ITB-LQ,0.4375199999999999,0,0.10573645681142807,0.0003294826310593635,0.030767183750867844
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3635014.jpg,ITB-LQ,0.35316,0,0.10291770845651627,0.00035241193836554885,0.0316426120698452
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8872158.jpg,ITB-LQ,0.41082,1,0.9983773231506348,0.9995367527008057,0.9645427465438843
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0257755.jpg,ITB-LQ,0.4312999999999999,0,0.08338680863380432,0.00036652819835580885,0.032164763659238815
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3971920.jpg,ITB-LQ,0.39726,0,0.1569211781024933,0.0003781925479415804,0.03258723020553589
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0976659.jpg,ITB-LQ,0.40726,0,0.10795377939939499,0.00036009500036016107,0.031928326934576035
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1674754.jpg,ITB-LQ,0.44068,0,0.10073178261518478,0.000335490214638412,0.03099996969103813
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1258362.jpg,ITB-LQ,0.4051999999999999,0,0.126442551612854,0.0003727048169821501,0.03238946571946144
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6509682.jpg,ITB-LQ,0.3157999999999999,1,0.06960137188434601,0.00034348006010986865,0.03130575269460678
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8967786.jpg,ITB-LQ,0.4480399999999999,0,0.10984569042921066,0.00033656982122920454,0.031041542068123817
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5331089.jpg,ITB-LQ,0.4408999999999999,0,0.09972889721393585,0.00033937182161025703,0.03114907070994377
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9369222.jpg,ITB-LQ,0.36852,0,0.014239412732422352,0.00036017983802594244,0.031931448727846146
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6383193.jpg,ITB-LQ,0.44816,0,0.09333240985870361,0.00035704585025087,0.031815364956855774
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0762958.jpg,ITB-LQ,0.3700799999999999,0,0.0991913303732872,0.00035474952892400324,0.03172993287444115
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5964676.jpg,ITB-LQ,0.4195,0,0.07483257353305817,0.00034425040939822793,0.0313350073993206
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6952546.jpg,ITB-LQ,0.41074,0,0.03818291053175926,0.00034440899617038667,0.03134102746844292
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9408359.jpg,ITB-LQ,0.4328999999999999,0,0.0794125348329544,0.0003444527101237327,0.03134268522262573
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1185853.jpg,ITB-LQ,0.41434,0,0.10680516064167023,0.00034688631421886384,0.03143482655286789
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1767633.jpg,ITB-LQ,0.33518,0,0.1141054779291153,0.00034654600312933326,0.0314219631254673
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7816367.jpg,ITB-LQ,0.39764,0,0.07500381767749786,0.00035815787850879133,0.031856637448072433
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4851979.jpg,ITB-LQ,0.3521,0,0.08195436000823975,0.0003735339269042015,0.03241944685578346
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0981639.jpg,ITB-LQ,0.36546,1,0.017632463946938515,0.0003453840618021786,0.03137799724936485
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0313422.jpg,ITB-LQ,0.42016,0,0.10799219459295273,0.00032372557325288653,0.030541718006134033
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1378910.jpg,ITB-LQ,0.22806,0,0.04703490063548088,0.00037097674794495106,0.03232681751251221
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1709900.jpg,ITB-LQ,0.32266,0,0.10320384800434113,0.00036713271401822567,0.032186854630708694
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1543772.jpg,ITB-LQ,0.2658399999999999,0,0.08511196821928024,0.00033539457945153117,0.030996283516287804
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2801440.jpg,ITB-LQ,0.44352,0,0.06641671806573868,0.0003494437551125884,0.031531237065792084
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1821482.jpg,ITB-LQ,0.2002599999999999,0,0.09528890997171402,0.00036726222606375813,0.032191574573516846
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9383110.jpg,ITB-LQ,0.36412,0,0.9340065121650696,0.9996628761291504,0.9689383506774902
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5855918.jpg,ITB-LQ,0.41128,0,0.13189911842346191,0.00035892974119633436,0.03188522160053253
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4874581.jpg,ITB-LQ,0.33662,1,0.11044885963201523,0.00037384621100500226,0.0324307382106781
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8260280.jpg,ITB-LQ,0.41452,0,0.06604176014661789,0.0003432266821619123,0.031296126544475555
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_1004265.jpg,ITB-LQ,0.40014,0,0.11678562313318253,0.0003482690663076937,0.031487006694078445
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2645333.jpg,ITB-LQ,0.23574,0,0.12709395587444305,0.0003588194085750729,0.03188113495707512
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4596257.jpg,ITB-LQ,0.4384,0,0.054546188563108444,0.00034490731195546687,0.03135992959141731
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2000040.jpg,ITB-LQ,0.44126,0,0.08808549493551254,0.0003511927789077163,0.03159693256020546
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5316803.jpg,ITB-LQ,0.3747,0,0.6019531488418579,0.20874617993831635,0.360456258058548
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8407448.jpg,ITB-LQ,0.36496,0,0.057988520711660385,0.00033632313716225326,0.03103204257786274
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_7765038.jpg,ITB-LQ,0.38424,0,0.05463495850563049,0.00035223388113081455,0.03163594380021095
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4868262.jpg,ITB-LQ,0.33466,0,0.07099295407533646,0.0003570863336790353,0.03181686997413635
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5362760.jpg,ITB-LQ,0.39396,0,0.101621113717556,0.0003507898945827037,0.0315818190574646
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4369851.jpg,ITB-LQ,0.4445,0,0.06891163438558578,0.0003458161372691393,0.0313943587243557
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_9105375.jpg,ITB-LQ,0.34814,0,0.09734047204256058,0.0003629552957136184,0.03203374892473221
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0776935.jpg,ITB-LQ,0.3396,0,0.08021421730518341,0.0003576317976694554,0.03183712437748909
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2837581.jpg,ITB-LQ,0.22128,1,0.1861383318901062,0.00036544640897773206,0.03212517872452736
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_5758388.jpg,ITB-LQ,0.3167,1,0.09674932807683945,0.0003623153897933662,0.03201020509004593
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_4676270.jpg,ITB-LQ,0.35676,1,0.11533074826002121,0.0003470037190709263,0.031439270824193954
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8022123.jpg,ITB-LQ,0.3636,0,0.10799205303192139,0.00034369263448752463,0.03131382539868355
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6689310.jpg,ITB-LQ,0.4345,0,0.21597018837928772,0.0003626215038821101,0.03202147036790848
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_2419448.jpg,ITB-LQ,0.44456,0,0.10627303272485733,0.0003366650780662894,0.031045211479067802
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_0015719.jpg,ITB-LQ,0.4098,0,0.08565815538167953,0.00036167172947898507,0.031986501067876816
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_8609756.jpg,ITB-LQ,0.31284,1,0.12090089172124863,0.0004013587604276836,0.033403776586055756
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_6488658.jpg,ITB-LQ,0.33784,0,0.14620380103588104,0.0003742065455298871,0.032443754374980927
D:\YJ-Agent\data\paired_dataset\heavy\ISIC_3942426.jpg,ITB-LQ,0.43518,0,0.07190581411123276,0.0003454072866588831,0.03137887641787529
