case,n_cyst_orig,n_L1_128x128x64,survive_L1_128x128x64,vanished_L1_128x128x64,n_L0_64x64x32,survive_L0_64x64x32,vanished_L0_64x64x32
case_00156,11964,49,0.004095620193915079,0,6,0.0005015045135406219,0
case_00158,206,0,0.0,1,0,0.0,1
case_00161,13657,930,0.06809694662078056,0,105,0.007688364941055869,0
case_00163,503,16,0.03180914512922465,0,4,0.007952286282306162,0
case_00165,5407,35,0.006473090438320696,0,5,0.0009247272054743851,0
case_00170,1595,15,0.009404388714733543,0,3,0.0018808777429467085,0
case_00173,189,10,0.05291005291005291,0,1,0.005291005291005291,0
case_00176,427,15,0.0351288056206089,0,2,0.00468384074941452,0
case_00177,147,4,0.027210884353741496,0,1,0.006802721088435374,0
case_00178,2569,127,0.04943557804593227,0,12,0.004671078240560529,0
case_00179,8302,338,0.040713081185256565,0,40,0.00481811611659841,0
case_00180,424,13,0.030660377358490566,0,1,0.0023584905660377358,0
case_00182,1265,50,0.039525691699604744,0,7,0.005533596837944664,0
case_00183,15294,310,0.020269386687589905,0,39,0.0025500196155355042,0
case_00184,33365,874,0.026195114641090964,0,105,0.003147010340176832,0
case_00185,2239,40,0.01786511835640911,0,4,0.001786511835640911,0
case_00188,9216,95,0.010308159722222222,0,9,0.0009765625,0
case_00190,24279,596,0.024547963260430825,0,71,0.0029243379051855515,0
case_00192,1467,44,0.029993183367416496,0,5,0.0034083162917518746,0
case_00193,26704,463,0.017338226482923907,0,60,0.0022468544038346315,0
case_00194,14595,407,0.02788626241863652,0,50,0.0034258307639602604,0
case_00195,26984,1103,0.04087607471093982,0,145,0.005373554699080937,0
case_00196,216,8,0.037037037037037035,0,1,0.004629629629629629,0
case_00197,602,14,0.023255813953488372,0,1,0.0016611295681063123,0
case_00198,29195,422,0.014454529885254324,0,55,0.001883884226751156,0
case_00200,38911,1526,0.03921770193518542,0,192,0.004934337333915859,0
case_00203,1532,8,0.005221932114882507,0,2,0.0013054830287206266,0
case_00206,5398,356,0.06595035198221563,0,43,0.007965913301222675,0
case_00211,32,3,0.09375,0,0,0.0,1
case_00213,406,2,0.0049261083743842365,0,0,0.0,1
case_00214,1477,12,0.008124576844955992,0,1,0.0006770480704129993,0
case_00215,2073,103,0.049686444766039554,0,15,0.00723589001447178,0
case_00216,79478,434,0.0054606306147613175,0,53,0.0006668512041067969,0
case_00217,2091,53,0.025346724055475847,0,6,0.0028694404591104736,0
case_00218,520,10,0.019230769230769232,0,0,0.0,1
case_00220,14428,349,0.024189076795120598,0,39,0.0027030773495980037,0
case_00224,589,24,0.04074702886247878,0,2,0.003395585738539898,0
case_00226,216,5,0.023148148148148147,0,1,0.004629629629629629,0
case_00227,10036,267,0.02660422479075329,0,33,0.003288162614587485,0
case_00231,3710,89,0.02398921832884097,0,11,0.0029649595687331535,0
case_00234,299,4,0.013377926421404682,0,1,0.0033444816053511705,0
case_00235,838,25,0.029832935560859187,0,3,0.003579952267303103,0
case_00237,143,5,0.03496503496503497,0,0,0.0,1
case_00238,20439,869,0.04251675717990117,0,106,0.005186163706639268,0
case_00241,29025,1187,0.04089577950043066,0,140,0.0048234280792420325,0
case_00242,740,41,0.05540540540540541,0,4,0.005405405405405406,0
case_00243,887,36,0.040586245772266064,0,6,0.006764374295377677,0
case_00244,406,20,0.04926108374384237,0,1,0.0024630541871921183,0
case_00246,2405,19,0.0079002079002079,0,1,0.0004158004158004158,0
case_00247,308,6,0.01948051948051948,0,0,0.0,1
case_00249,2129,36,0.016909347111319868,0,6,0.0028182245185533112,0
case_00252,1500,113,0.07533333333333334,0,16,0.010666666666666666,0
case_00254,21558,345,0.01600333982744225,0,44,0.002041005659152055,0
case_00256,16421,867,0.052798246148224835,0,114,0.006942329943365203,0
case_00257,9729,1200,0.12334258402713537,0,152,0.01562339397677048,0
case_00260,1013,75,0.07403751233958539,0,8,0.007897334649555774,0
case_00265,6262,255,0.04072181411689556,0,26,0.00415202810603641,0
case_00266,252,13,0.051587301587301584,0,0,0.0,1
case_00268,14449,324,0.022423697141670702,0,49,0.0033912381479687176,0
case_00269,565,19,0.033628318584070796,0,4,0.007079646017699115,0
case_00270,6606,278,0.0420829548894944,0,31,0.004692703602785346,0
case_00271,20870,184,0.00881648298993771,0,24,0.0011499760421657883,0
case_00273,150,4,0.02666666666666667,0,2,0.013333333333333334,0
case_00274,1729,59,0.03412377096587623,0,4,0.002313475997686524,0
case_00275,5086,208,0.04089657884388517,0,22,0.004325599685410932,0
case_00277,3646,183,0.05019199122325837,0,27,0.007405375754251234,0
case_00278,537,10,0.0186219739292365,0,3,0.00558659217877095,0
case_00279,100,6,0.06,0,0,0.0,1
case_00284,1709,29,0.016968987712112346,0,3,0.0017554125219426564,0
case_00285,88,3,0.03409090909090909,0,0,0.0,1
case_00287,1590,126,0.07924528301886792,0,22,0.013836477987421384,0
case_00289,24702,1167,0.047243138207432596,0,147,0.005950935146951664,0
case_00290,724,6,0.008287292817679558,0,0,0.0,1
case_00296,697,33,0.047345767575322814,0,3,0.00430416068866571,0
case_00297,9541,365,0.03825594801383503,0,44,0.004611675924955455,0
case_00299,460,4,0.008695652173913044,0,1,0.002173913043478261,0
case_00400,3625,146,0.040275862068965516,0,18,0.004965517241379311,0
case_00402,17043,1390,0.08155841107786188,0,162,0.009505368773103326,0
case_00403,13884,952,0.06856813598386632,0,118,0.00849899164505906,0
case_00404,20847,587,0.028157528661198254,0,74,0.0035496714155513983,0
case_00408,1978,84,0.042467138523761376,0,8,0.004044489383215369,0
case_00409,546,20,0.03663003663003663,0,2,0.003663003663003663,0
case_00412,206,1,0.0048543689320388345,0,0,0.0,1
case_00413,28581,1203,0.0420908995486512,0,147,0.005143277002204262,0
case_00414,554,20,0.036101083032490974,0,2,0.0036101083032490976,0
case_00416,2658,189,0.07110609480812641,0,21,0.007900677200902935,0
case_00417,11926,330,0.02767063558611437,0,48,0.004024819721616636,0
case_00418,3206,232,0.07236431690580163,0,19,0.005926388022457892,0
case_00424,752,36,0.047872340425531915,0,2,0.0026595744680851063,0
case_00426,10478,414,0.039511357129223136,0,50,0.00477190303493033,0
case_00427,3140,296,0.09426751592356689,0,34,0.010828025477707006,0
case_00428,31373,1316,0.04194689701335543,0,155,0.004940553979536544,0
case_00429,113,3,0.02654867256637168,0,0,0.0,1
case_00432,1070,34,0.03177570093457944,0,3,0.002803738317757009,0
case_00433,13575,504,0.03712707182320442,0,59,0.00434622467771639,0
case_00434,2451,205,0.08363933088535291,0,27,0.011015911872705019,0
case_00440,153,15,0.09803921568627451,0,3,0.0196078431372549,0
case_00442,81104,335,0.004130499112250937,0,40,0.0004931939238508582,0
case_00444,1359,60,0.04415011037527594,0,7,0.0051508462104488595,0
case_00446,237,4,0.016877637130801686,0,0,0.0,1
case_00453,66,2,0.030303030303030304,0,1,0.015151515151515152,0
case_00454,255,16,0.06274509803921569,0,1,0.00392156862745098,0
case_00455,28797,723,0.025106781956453796,0,88,0.0030558738757509463,0
case_00456,594,23,0.03872053872053872,0,2,0.003367003367003367,0
case_00459,53,7,0.1320754716981132,0,1,0.018867924528301886,0
case_00461,132082,3683,0.027884193152738452,0,464,0.003512969216093033,0
case_00465,298154,12516,0.04197830651274174,0,1552,0.005205363671122977,0
case_00468,111193,8741,0.07861106364609283,0,1102,0.009910695817182737,0
case_00469,626,26,0.04153354632587859,0,2,0.003194888178913738,0
case_00470,56718,5155,0.0908882541697521,0,626,0.011037060545153214,0
case_00471,214,12,0.056074766355140186,0,0,0.0,1
case_00472,4511,115,0.0254932387497229,0,16,0.0035468853912657946,0
case_00473,2595,222,0.08554913294797688,0,25,0.009633911368015413,0
case_00475,8053,321,0.03986092139575313,0,41,0.005091270334037005,0
case_00479,4711,105,0.022288261515601784,0,15,0.0031840373593716833,0
case_00480,87726,2464,0.028087454118505346,0,304,0.003465335248387023,0
case_00483,15899,1353,0.085099691804516,0,163,0.010252217120573622,0
case_00484,158,12,0.0759493670886076,0,3,0.0189873417721519,0
case_00485,958,49,0.0511482254697286,0,8,0.008350730688935281,0
case_00486,745,22,0.02953020134228188,0,4,0.005369127516778523,0
case_00490,148,0,0.0,1,0,0.0,1
case_00491,17,3,0.17647058823529413,0,2,0.11764705882352941,0
case_00492,826,35,0.0423728813559322,0,2,0.002421307506053269,0
case_00494,3402,142,0.041740152851263965,0,18,0.005291005291005291,0
case_00495,201,16,0.07960199004975124,0,3,0.014925373134328358,0
case_00496,746,50,0.06702412868632708,0,6,0.00804289544235925,0
case_00499,55102,3420,0.062066712642009365,0,434,0.00787630213059417,0
case_00502,2639,77,0.029177718832891247,0,8,0.0030314513073133762,0
case_00503,8194,357,0.043568464730290454,0,54,0.006590187942396876,0
case_00504,9627,169,0.017554793809078633,0,21,0.0021813649111872857,0
case_00505,1326,18,0.013574660633484163,0,2,0.0015082956259426848,0
case_00506,851,88,0.10340775558166862,0,12,0.01410105757931845,0
case_00507,3176,139,0.04376574307304786,0,16,0.005037783375314861,0
case_00508,9403,452,0.048069764968627034,0,60,0.006380942252472615,0
case_00509,492,8,0.016260162601626018,0,1,0.0020325203252032522,0
case_00510,4629,25,0.005400734499891985,0,2,0.00043205875999135883,0
case_00511,236,9,0.038135593220338986,0,2,0.00847457627118644,0
case_00512,2105,121,0.057482185273159146,0,21,0.009976247030878859,0
case_00513,19575,178,0.00909323116219668,0,23,0.0011749680715197957,0
case_00514,12130,73,0.006018136850783182,0,9,0.000741962077493817,0
case_00515,140581,1765,0.012555039443452529,0,225,0.001600500778910379,0
case_00519,169226,8983,0.053082859607861674,0,1115,0.00658882204862137,0
case_00521,1477,76,0.05145565335138795,0,9,0.006093432633716994,0
case_00522,8901,397,0.044601730142680596,0,50,0.005617346365576902,0
case_00523,1858,74,0.03982777179763186,0,9,0.004843918191603875,0
case_00526,493,5,0.010141987829614604,0,0,0.0,1
case_00527,1290,158,0.12248062015503876,0,22,0.017054263565891473,0
case_00529,6018,570,0.09471585244267199,0,74,0.012296444001329345,0
case_00530,5027,134,0.026656057290630596,0,20,0.003978516013526954,0
case_00531,911,68,0.07464324917672886,0,8,0.008781558726673985,0
case_00532,5456,136,0.024926686217008796,0,23,0.004215542521994135,0
case_00538,91855,945,0.010287953840291764,0,117,0.0012737466659408852,0
case_00540,38647,355,0.009185706523145393,0,44,0.0011385101042771756,0
case_00542,4286,81,0.0188987400839944,0,10,0.0023331777881474567,0
case_00543,244433,2144,0.008771319748151846,0,259,0.0010595950628597612,0
case_00544,21782,161,0.007391424111651823,0,21,0.0009640987971719769,0
case_00548,1146,92,0.08027923211169284,0,13,0.011343804537521814,0
case_00549,3733,315,0.08438253415483525,0,37,0.00991159924993303,0
case_00550,184,21,0.11413043478260869,0,3,0.016304347826086956,0
case_00551,38349,3397,0.08858118855771989,0,408,0.010639130094656966,0
case_00553,3364,29,0.008620689655172414,0,2,0.0005945303210463733,0
case_00554,6881,428,0.06220026158988519,0,51,0.0074117134137480015,0
case_00555,1435,13,0.009059233449477353,0,2,0.0013937282229965157,0
case_00558,887,29,0.03269447576099211,0,4,0.004509582863585118,0
case_00562,4864,43,0.00884046052631579,0,6,0.0012335526315789473,0
case_00563,40687,763,0.018752918622655886,0,93,0.002285742374714282,0
case_00564,326,2,0.006134969325153374,0,0,0.0,1
case_00565,1470,106,0.07210884353741497,0,18,0.012244897959183673,0
case_00566,626,14,0.022364217252396165,0,4,0.006389776357827476,0
case_00567,9401,185,0.01967875757898096,0,22,0.002340176576959898,0
case_00568,13321,283,0.02124465130245477,0,38,0.0028526386907889796,0
case_00571,2317,115,0.04963314630988347,0,11,0.004747518342684506,0
case_00575,2448,39,0.015931372549019607,0,8,0.0032679738562091504,0
case_00578,2318,18,0.007765314926660914,0,2,0.0008628127696289905,0
case_00586,175069,4562,0.026058297014320067,0,580,0.0033129794538153527,0
case_00587,1959,165,0.08422664624808576,0,23,0.01174068402246044,0
