bb_idx,nettepi_Comb,nettepi_Rank,nettepi_score,pending_DTU_consent
180,,,,True
181,,,,True
182,,,,True
183,-0.022,50.0,-0.022,True
184,,,,True
185,,,,True
186,,,,True
187,0.071,32.0,0.071,True
188,,,,True
189,,,,True
190,,,,True
191,0.188,15.0,0.188,True
192,,,,True
193,,,,True
194,,,,True
195,0.494,3.0,0.494,True
196,,,,True
197,,,,True
198,,,,True
199,0.044,50.0,0.044,True
200,,,,True
201,,,,True
202,,,,True
203,,,,True
204,,,,True
205,,,,True
206,,,,True
207,,,,True
208,,,,True
209,,,,True
210,,,,True
211,,,,True
212,,,,True
213,,,,True
214,,,,True
215,,,,True
216,,,,True
217,,,,True
218,,,,True
219,,,,True
220,,,,True
221,,,,True
222,,,,True
223,,,,True
224,,,,True
225,,,,True
226,,,,True
227,,,,True
228,,,,True
229,,,,True
230,,,,True
231,,,,True
232,,,,True
233,0.021,50.0,0.021,True
234,0.058,50.0,0.058,True
235,0.034,50.0,0.034,True
236,,,,True
237,0.319,6.0,0.319,True
238,0.684,0.05,0.684,True
239,0.092,15.0,0.092,True
240,,,,True
241,0.128,20.0,0.128,True
242,0.48,1.5,0.48,True
243,0.087,15.0,0.087,True
244,,,,True
245,0.142,15.0,0.142,True
246,0.571,0.4,0.571,True
247,0.161,5.0,0.161,True
248,,,,True
249,0.066,32.0,0.066,True
250,0.15,15.0,0.15,True
251,0.102,15.0,0.102,True
252,,,,True
253,0.042,50.0,0.042,True
254,0.061,50.0,0.061,True
255,0.05,50.0,0.05,True
256,,,,True
257,0.074,32.0,0.074,True
258,0.056,50.0,0.056,True
259,0.066,32.0,0.066,True
260,,,,True
261,0.55,1.5,0.55,True
262,0.376,3.0,0.376,True
263,0.086,15.0,0.086,True
264,,,,True
265,0.02,50.0,0.02,True
266,0.125,20.0,0.125,True
267,0.052,50.0,0.052,True
268,,,,True
269,0.412,4.0,0.412,True
270,0.116,20.0,0.116,True
271,0.054,50.0,0.054,True
272,,,,True
273,0.053,50.0,0.053,True
274,0.089,32.0,0.089,True
275,0.087,15.0,0.087,True
276,,,,True
277,0.029,50.0,0.029,True
278,0.045,50.0,0.045,True
279,0.035,50.0,0.035,True
280,,,,True
281,0.086,32.0,0.086,True
282,0.277,5.0,0.277,True
283,0.089,15.0,0.089,True
284,,,,True
285,0.08,32.0,0.08,True
286,0.47,1.5,0.47,True
287,0.087,15.0,0.087,True
288,,,,True
289,0.074,32.0,0.074,True
290,0.514,0.8,0.514,True
291,0.087,15.0,0.087,True
292,,,,True
293,0.148,15.0,0.148,True
294,0.481,1.5,0.481,True
295,0.076,20.0,0.076,True
296,,,,True
297,0.31,6.0,0.31,True
298,0.052,50.0,0.052,True
299,0.033,50.0,0.033,True
300,,,,True
301,0.058,50.0,0.058,True
302,0.082,32.0,0.082,True
303,0.071,32.0,0.071,True
304,,,,True
305,0.04,50.0,0.04,True
306,0.049,50.0,0.049,True
307,0.048,50.0,0.048,True
308,,,,True
309,0.297,6.0,0.297,True
310,0.589,0.4,0.589,True
311,0.108,10.0,0.108,True
312,,,,True
313,0.099,32.0,0.099,True
314,0.112,20.0,0.112,True
315,0.088,15.0,0.088,True
316,,,,True
317,0.55,1.5,0.55,True
318,0.376,3.0,0.376,True
319,0.086,15.0,0.086,True
320,,,,True
321,0.058,50.0,0.058,True
322,0.08,50.0,0.08,True
323,0.046,50.0,0.046,True
324,,,,True
325,,,,True
326,0.019,50.0,0.019,True
327,,,,True
328,,,,True
329,,,,True
330,0.065,32.0,0.065,True
331,,,,True
332,,,,True
333,,,,True
334,0.036,50.0,0.036,True
335,,,,True
336,,,,True
337,,,,True
338,0.029,50.0,0.029,True
339,,,,True
340,,,,True
341,,,,True
342,0.034,50.0,0.034,True
343,,,,True
344,,,,True
345,,,,True
346,0.019,50.0,0.019,True
347,,,,True
348,,,,True
349,,,,True
350,0.048,50.0,0.048,True
351,,,,True
352,,,,True
353,,,,True
354,-0.014,50.0,-0.014,True
355,,,,True
356,,,,True
357,,,,True
358,0.006,50.0,0.006,True
359,,,,True
360,,,,True
361,,,,True
362,0.069,32.0,0.069,True
363,,,,True
364,,,,True
365,,,,True
366,0.09,15.0,0.09,True
367,,,,True
368,,,,True
369,,,,True
370,0.1,15.0,0.1,True
371,,,,True
372,,,,True
373,,,,True
374,0.054,50.0,0.054,True
375,,,,True
376,,,,True
377,,,,True
378,0.039,50.0,0.039,True
379,,,,True
380,,,,True
381,,,,True
382,0.038,50.0,0.038,True
383,,,,True
384,,,,True
385,,,,True
386,0.057,50.0,0.057,True
387,,,,True
388,,,,True
389,,,,True
390,0.04,50.0,0.04,True
391,,,,True
392,,,,True
393,,,,True
394,0.032,50.0,0.032,True
395,,,,True
396,,,,True
397,,,,True
398,0.037,50.0,0.037,True
399,,,,True
400,,,,True
401,,,,True
402,0.016,50.0,0.016,True
403,,,,True
404,,,,True
405,,,,True
406,0.021,50.0,0.021,True
407,,,,True
408,,,,True
409,,,,True
410,0.021,50.0,0.021,True
411,,,,True
412,,,,True
413,,,,True
414,0.017,50.0,0.017,True
415,,,,True
416,,,,True
417,,,,True
418,-0.008,50.0,-0.008,True
419,,,,True
420,,,,True
421,,,,True
422,0.026,50.0,0.026,True
423,,,,True
424,,,,True
425,,,,True
426,0.049,50.0,0.049,True
427,,,,True
428,,,,True
429,,,,True
430,0.066,32.0,0.066,True
431,,,,True
432,,,,True
433,,,,True
434,0.14,6.0,0.14,True
435,,,,True
436,,,,True
437,,,,True
438,0.042,50.0,0.042,True
439,,,,True
440,,,,True
441,,,,True
442,0.047,50.0,0.047,True
443,,,,True
444,,,,True
445,,,,True
446,0.046,50.0,0.046,True
447,,,,True
448,,,,True
449,,,,True
450,0.03,50.0,0.03,True
451,,,,True
452,,,,True
453,,,,True
454,0.031,50.0,0.031,True
455,,,,True
456,,,,True
457,,,,True
458,0.018,50.0,0.018,True
459,,,,True
460,,,,True
461,,,,True
462,0.002,50.0,0.002,True
463,,,,True
464,,,,True
465,,,,True
466,0.017,50.0,0.017,True
467,,,,True
468,,,,True
469,,,,True
470,0.004,50.0,0.004,True
471,,,,True
472,,,,True
473,,,,True
474,0.166,5.0,0.166,True
475,,,,True
476,,,,True
477,,,,True
478,0.003,50.0,0.003,True
479,,,,True
480,,,,True
481,,,,True
482,0.01,50.0,0.01,True
483,,,,True
484,,,,True
485,,,,True
486,0.029,50.0,0.029,True
487,,,,True
488,,,,True
489,,,,True
490,0.061,32.0,0.061,True
491,,,,True
492,,,,True
493,,,,True
494,0.067,32.0,0.067,True
495,,,,True
496,,,,True
497,,,,True
498,0.041,50.0,0.041,True
499,,,,True
500,,,,True
501,,,,True
502,0.06,32.0,0.06,True
503,,,,True
504,,,,True
505,,,,True
506,0.038,50.0,0.038,True
507,,,,True
508,,,,True
509,,,,True
510,0.02,50.0,0.02,True
511,,,,True
512,,,,True
513,,,,True
514,0.011,50.0,0.011,True
515,,,,True
516,,,,True
517,,,,True
518,0.008,50.0,0.008,True
519,,,,True
520,,,,True
521,,,,True
522,0.013,50.0,0.013,True
523,,,,True
524,,,,True
525,,,,True
526,0.029,50.0,0.029,True
527,,,,True
528,,,,True
529,,,,True
530,0.472,1.0,0.472,True
531,,,,True
532,,,,True
533,,,,True
534,0.008,50.0,0.008,True
535,,,,True
536,,,,True
537,,,,True
538,0.021,50.0,0.021,True
539,,,,True
540,,,,True
541,,,,True
542,0.035,50.0,0.035,True
543,,,,True
544,,,,True
545,,,,True
546,0.039,50.0,0.039,True
547,,,,True
548,,,,True
549,,,,True
550,0.099,15.0,0.099,True
551,,,,True
552,,,,True
553,,,,True
554,0.053,50.0,0.053,True
555,,,,True
556,,,,True
557,,,,True
558,,,,True
559,,,,True
560,,,,True
561,,,,True
562,,,,True
563,,,,True
564,,,,True
565,,,,True
566,,,,True
567,,,,True
568,,,,True
569,,,,True
570,,,,True
571,,,,True
572,,,,True
573,,,,True
574,,,,True
575,,,,True
576,,,,True
577,,,,True
578,,,,True
579,,,,True
580,,,,True
581,,,,True
582,,,,True
583,,,,True
584,,,,True
585,,,,True
586,,,,True
587,,,,True
588,,,,True
589,,,,True
590,,,,True
591,,,,True
592,,,,True
593,,,,True
594,,,,True
595,,,,True
596,,,,True
597,,,,True
598,,,,True
599,,,,True
600,,,,True
601,,,,True
602,,,,True
603,,,,True
604,,,,True
605,,,,True
606,,,,True
607,,,,True
608,,,,True
609,,,,True
610,,,,True
611,,,,True
612,,,,True
613,,,,True
614,,,,True
615,,,,True
616,,,,True
617,,,,True
618,,,,True
619,,,,True
620,,,,True
621,,,,True
622,,,,True
623,,,,True
624,,,,True
625,,,,True
626,,,,True
627,,,,True
628,,,,True
629,,,,True
630,,,,True
631,,,,True
632,,,,True
633,,,,True
634,,,,True
635,,,,True
636,,,,True
637,,,,True
638,,,,True
639,,,,True
640,,,,True
641,,,,True
642,,,,True
643,,,,True
644,,,,True
645,,,,True
646,,,,True
647,,,,True
648,,,,True
649,,,,True
650,,,,True
651,,,,True
652,,,,True
653,,,,True
654,,,,True
655,,,,True
656,,,,True
657,,,,True
658,,,,True
659,,,,True
660,,,,True
661,,,,True
662,,,,True
663,,,,True
664,,,,True
665,,,,True
666,,,,True
667,,,,True
668,,,,True
669,,,,True
670,,,,True
671,,,,True
672,,,,True
673,,,,True
674,,,,True
675,,,,True
676,,,,True
677,,,,True
678,,,,True
679,,,,True
680,,,,True
681,,,,True
682,,,,True
683,,,,True
684,,,,True
685,,,,True
686,,,,True
687,,,,True
688,,,,True
689,,,,True
690,0.052,50.0,0.052,True
691,,,,True
692,,,,True
693,,,,True
694,0.065,32.0,0.065,True
695,,,,True
696,,,,True
697,,,,True
698,0.567,0.8,0.567,True
699,,,,True
700,,,,True
701,,,,True
702,0.023,50.0,0.023,True
703,,,,True
704,,,,True
705,,,,True
706,0.002,50.0,0.002,True
707,,,,True
708,,,,True
709,,,,True
710,0.011,50.0,0.011,True
711,,,,True
712,,,,True
713,,,,True
714,0.027,50.0,0.027,True
715,,,,True
716,,,,True
717,,,,True
718,0.002,50.0,0.002,True
719,,,,True
720,,,,True
721,,,,True
722,0.027,50.0,0.027,True
723,,,,True
724,,,,True
725,,,,True
726,0.042,50.0,0.042,True
727,,,,True
728,,,,True
729,,,,True
730,0.064,32.0,0.064,True
731,,,,True
732,,,,True
733,,,,True
734,0.05,50.0,0.05,True
735,,,,True
736,,,,True
737,,,,True
738,0.049,50.0,0.049,True
739,,,,True
740,,,,True
741,,,,True
742,0.087,15.0,0.087,True
743,,,,True
744,,,,True
745,,,,True
746,0.157,5.0,0.157,True
747,,,,True
748,,,,True
749,,,,True
750,0.003,50.0,0.003,True
751,,,,True
752,,,,True
753,,,,True
754,0.065,32.0,0.065,True
755,,,,True
756,,,,True
757,,,,True
758,0.052,50.0,0.052,True
759,,,,True
760,,,,True
761,,,,True
762,0.172,5.0,0.172,True
763,,,,True
764,,,,True
765,,,,True
766,0.075,20.0,0.075,True
767,,,,True
768,,,,True
769,,,,True
770,0.01,50.0,0.01,True
771,,,,True
772,,,,True
773,,,,True
774,0.001,50.0,0.001,True
775,,,,True
776,,,,True
777,,,,True
778,0.01,50.0,0.01,True
779,,,,True
780,,,,True
781,,,,True
782,-0.002,50.0,-0.002,True
783,,,,True
784,,,,True
785,,,,True
786,0.005,50.0,0.005,True
787,,,,True
788,,,,True
789,,,,True
790,0.045,50.0,0.045,True
791,,,,True
792,,,,True
793,,,,True
794,0.034,50.0,0.034,True
795,,,,True
796,,,,True
797,,,,True
798,0.07,32.0,0.07,True
799,,,,True
800,,,,True
801,,,,True
802,0.05,50.0,0.05,True
803,,,,True
804,,,,True
805,,,,True
806,0.083,20.0,0.083,True
807,,,,True
808,,,,True
809,,,,True
810,0.03,50.0,0.03,True
811,,,,True
812,,,,True
813,,,,True
814,0.149,6.0,0.149,True
815,,,,True
816,,,,True
817,,,,True
818,-0.002,50.0,-0.002,True
819,,,,True
820,,,,True
821,,,,True
822,0.09,15.0,0.09,True
823,,,,True
824,,,,True
825,,,,True
826,0.036,50.0,0.036,True
827,,,,True
828,,,,True
829,,,,True
830,0.091,15.0,0.091,True
831,,,,True
832,,,,True
833,,,,True
834,0.008,50.0,0.008,True
835,,,,True
836,,,,True
837,,,,True
838,0.005,50.0,0.005,True
839,,,,True
840,,,,True
841,,,,True
842,-0.004,50.0,-0.004,True
843,,,,True
844,,,,True
845,,,,True
846,0.004,50.0,0.004,True
847,,,,True
848,,,,True
849,,,,True
850,0.018,50.0,0.018,True
851,,,,True
852,,,,True
853,,,,True
854,0.03,50.0,0.03,True
855,,,,True
856,,,,True
857,,,,True
858,0.033,50.0,0.033,True
859,,,,True
860,,,,True
861,,,,True
862,0.086,15.0,0.086,True
863,,,,True
864,,,,True
865,,,,True
866,0.09,15.0,0.09,True
867,,,,True
868,,,,True
869,,,,True
870,0.036,50.0,0.036,True
871,,,,True
872,,,,True
873,,,,True
874,0.013,50.0,0.013,True
875,,,,True
876,,,,True
877,,,,True
878,0.136,7.0,0.136,True
879,,,,True
880,,,,True
881,,,,True
882,0.035,50.0,0.035,True
883,,,,True
884,,,,True
885,,,,True
886,0.03,50.0,0.03,True
887,,,,True
888,,,,True
889,,,,True
890,0.052,50.0,0.052,True
891,,,,True
892,,,,True
893,,,,True
894,0.02,50.0,0.02,True
895,,,,True
896,,,,True
897,,,,True
898,0.0,50.0,0.0,True
899,,,,True
900,,,,True
901,,,,True
902,0.011,50.0,0.011,True
903,,,,True
904,,,,True
905,,,,True
906,0.027,50.0,0.027,True
907,,,,True
908,,,,True
909,,,,True
910,0.017,50.0,0.017,True
911,,,,True
912,,,,True
913,,,,True
914,0.04,50.0,0.04,True
915,,,,True
916,,,,True
917,,,,True
918,0.034,50.0,0.034,True
919,,,,True
920,,,,True
921,,,,True
922,0.368,1.5,0.368,True
923,,,,True
924,,,,True
925,,,,True
926,0.04,50.0,0.04,True
927,,,,True
928,,,,True
929,,,,True
930,0.028,50.0,0.028,True
931,,,,True
932,,,,True
933,,,,True
934,0.013,50.0,0.013,True
935,,,,True
936,,,,True
937,,,,True
938,,,,True
939,,,,True
940,,,,True
941,,,,True
942,,,,True
943,,,,True
944,,,,True
945,,,,True
946,,,,True
947,,,,True
948,,,,True
949,,,,True
950,,,,True
951,,,,True
952,,,,True
953,,,,True
954,,,,True
955,,,,True
956,,,,True
957,,,,True
958,,,,True
959,,,,True
960,,,,True
961,,,,True
962,,,,True
963,,,,True
964,,,,True
965,,,,True
966,,,,True
967,,,,True
968,,,,True
969,,,,True
970,,,,True
971,,,,True
972,,,,True
973,,,,True
974,,,,True
975,,,,True
976,,,,True
977,,,,True
978,,,,True
979,,,,True
980,,,,True
981,,,,True
982,,,,True
983,,,,True
984,,,,True
985,,,,True
986,,,,True
987,,,,True
988,,,,True
989,,,,True
990,,,,True
991,,,,True
992,,,,True
993,,,,True
994,,,,True
995,,,,True
996,,,,True
997,,,,True
998,,,,True
999,,,,True
1000,,,,True
1001,,,,True
1002,,,,True
1003,,,,True
1004,,,,True
1005,,,,True
1006,,,,True
1007,,,,True
1008,,,,True
1009,,,,True
1010,,,,True
1011,,,,True
1012,,,,True
1013,,,,True
1014,,,,True
1015,,,,True
1016,,,,True
1017,,,,True
1018,,,,True
1019,,,,True
1020,,,,True
1021,,,,True
1022,,,,True
1023,,,,True
1024,,,,True
1025,,,,True
1026,,,,True
1027,,,,True
1028,,,,True
1029,,,,True
1030,,,,True
1031,,,,True
1032,,,,True
1033,,,,True
1034,,,,True
1035,,,,True
1036,,,,True
1037,,,,True
1038,,,,True
1039,,,,True
1040,,,,True
1041,,,,True
1042,,,,True
1043,,,,True
1044,,,,True
1045,,,,True
1046,,,,True
1047,,,,True
1048,,,,True
1049,,,,True
1050,,,,True
1051,,,,True
1052,,,,True
1053,,,,True
1054,,,,True
1055,,,,True
1056,,,,True
1057,,,,True
1058,,,,True
1059,,,,True
1060,,,,True
1061,,,,True
1062,,,,True
1063,,,,True
1064,,,,True
1065,,,,True
1066,,,,True
1067,,,,True
1068,,,,True
1069,,,,True
1070,,,,True
1071,,,,True
1072,,,,True
1073,,,,True
1074,,,,True
1075,,,,True
1076,,,,True
1077,,,,True
1078,,,,True
1079,,,,True
1080,,,,True
1081,,,,True
1082,0.076,20.0,0.076,True
1083,,,,True
1084,,,,True
1085,,,,True
1086,0.035,50.0,0.035,True
1087,,,,True
1088,,,,True
1089,,,,True
1090,0.019,50.0,0.019,True
1091,,,,True
1092,,,,True
1093,,,,True
1094,0.065,32.0,0.065,True
1095,,,,True
1096,,,,True
1097,,,,True
1098,0.036,50.0,0.036,True
1099,,,,True
1100,,,,True
1101,,,,True
1102,0.029,50.0,0.029,True
1103,,,,True
1104,,,,True
1105,,,,True
1106,0.034,50.0,0.034,True
1107,,,,True
1108,,,,True
1109,,,,True
1110,0.019,50.0,0.019,True
1111,,,,True
1112,,,,True
1113,,,,True
1114,0.048,50.0,0.048,True
1115,,,,True
1116,,,,True
1117,,,,True
1118,-0.014,50.0,-0.014,True
1119,,,,True
1120,,,,True
1121,,,,True
1122,0.006,50.0,0.006,True
1123,,,,True
1124,,,,True
1125,,,,True
1126,0.069,32.0,0.069,True
1127,,,,True
1128,,,,True
1129,,,,True
1130,0.09,15.0,0.09,True
1131,,,,True
1132,,,,True
1133,,,,True
1134,0.1,15.0,0.1,True
1135,,,,True
1136,,,,True
1137,,,,True
1138,0.037,50.0,0.037,True
1139,,,,True
1140,,,,True
1141,,,,True
1142,0.025,50.0,0.025,True
1143,,,,True
1144,,,,True
1145,,,,True
1146,0.04,50.0,0.04,True
1147,,,,True
1148,,,,True
1149,,,,True
1150,0.032,50.0,0.032,True
1151,,,,True
1152,,,,True
1153,,,,True
1154,0.037,50.0,0.037,True
1155,,,,True
1156,,,,True
1157,,,,True
1158,0.016,50.0,0.016,True
1159,,,,True
1160,,,,True
1161,,,,True
1162,0.021,50.0,0.021,True
1163,,,,True
1164,,,,True
1165,,,,True
1166,0.021,50.0,0.021,True
1167,,,,True
1168,,,,True
1169,,,,True
1170,0.017,50.0,0.017,True
1171,,,,True
1172,,,,True
1173,,,,True
1174,-0.008,50.0,-0.008,True
1175,,,,True
1176,,,,True
1177,,,,True
1178,0.026,50.0,0.026,True
1179,,,,True
1180,,,,True
1181,,,,True
1182,0.049,50.0,0.049,True
1183,,,,True
1184,,,,True
1185,,,,True
1186,0.066,32.0,0.066,True
1187,,,,True
1188,,,,True
1189,,,,True
1190,0.018,50.0,0.018,True
1191,,,,True
1192,,,,True
1193,,,,True
1194,0.042,50.0,0.042,True
1195,,,,True
1196,,,,True
1197,,,,True
1198,0.03,50.0,0.03,True
1199,,,,True
1200,,,,True
1201,,,,True
1202,0.031,50.0,0.031,True
1203,,,,True
1204,,,,True
1205,,,,True
1206,0.018,50.0,0.018,True
1207,,,,True
1208,,,,True
1209,,,,True
1210,0.002,50.0,0.002,True
1211,,,,True
1212,,,,True
1213,,,,True
1214,0.017,50.0,0.017,True
1215,,,,True
1216,,,,True
1217,,,,True
1218,0.004,50.0,0.004,True
1219,,,,True
1220,,,,True
1221,,,,True
1222,0.166,5.0,0.166,True
1223,,,,True
1224,,,,True
1225,,,,True
1226,0.003,50.0,0.003,True
1227,,,,True
1228,,,,True
1229,,,,True
1230,0.01,50.0,0.01,True
1231,,,,True
1232,,,,True
1233,,,,True
1234,0.029,50.0,0.029,True
1235,,,,True
1236,,,,True
1237,,,,True
1238,0.052,50.0,0.052,True
1239,,,,True
1240,,,,True
1241,,,,True
1242,0.041,50.0,0.041,True
1243,,,,True
1244,,,,True
1245,,,,True
1246,0.038,50.0,0.038,True
1247,,,,True
1248,,,,True
1249,,,,True
1250,0.02,50.0,0.02,True
1251,,,,True
1252,,,,True
1253,,,,True
1254,0.011,50.0,0.011,True
1255,,,,True
1256,,,,True
1257,,,,True
1258,0.008,50.0,0.008,True
1259,,,,True
1260,,,,True
1261,,,,True
1262,0.013,50.0,0.013,True
1263,,,,True
1264,,,,True
1265,,,,True
1266,0.029,50.0,0.029,True
1267,,,,True
1268,,,,True
1269,,,,True
1270,0.472,1.0,0.472,True
1271,,,,True
1272,,,,True
1273,,,,True
1274,0.008,50.0,0.008,True
1275,,,,True
1276,,,,True
1277,,,,True
1278,0.021,50.0,0.021,True
1279,,,,True
1280,,,,True
1281,,,,True
1282,,,,True
1283,,,,True
1284,,,,True
1285,,,,True
1286,,,,True
1287,,,,True
1288,,,,True
1289,,,,True
1290,,,,True
1291,,,,True
1292,,,,True
1293,,,,True
1294,,,,True
1295,,,,True
1296,,,,True
1297,,,,True
1298,,,,True
1299,,,,True
1300,,,,True
1301,,,,True
1302,,,,True
1303,,,,True
1304,,,,True
1305,,,,True
1306,,,,True
1307,,,,True
1308,,,,True
1309,,,,True
1310,,,,True
1311,,,,True
1312,,,,True
1313,,,,True
1314,,,,True
1315,,,,True
1316,,,,True
1317,,,,True
1318,,,,True
1319,,,,True
1320,,,,True
1321,,,,True
1322,,,,True
1323,,,,True
1324,,,,True
1325,,,,True
1326,,,,True
1327,,,,True
1328,,,,True
1329,,,,True
1330,,,,True
1331,,,,True
1332,,,,True
1333,,,,True
1334,,,,True
1335,,,,True
1336,,,,True
1337,,,,True
1338,,,,True
1339,,,,True
1340,,,,True
1341,,,,True
1342,,,,True
1343,,,,True
1344,,,,True
1345,,,,True
1346,,,,True
1347,,,,True
1348,,,,True
1349,,,,True
1350,,,,True
1351,,,,True
1352,,,,True
1353,,,,True
1354,,,,True
1355,,,,True
1356,,,,True
1357,,,,True
1358,,,,True
1359,,,,True
1360,,,,True
1361,,,,True
1362,,,,True
1363,,,,True
1364,,,,True
1365,,,,True
1366,,,,True
1367,,,,True
1368,,,,True
1369,,,,True
1370,,,,True
1371,,,,True
1372,,,,True
1373,,,,True
1374,,,,True
1375,,,,True
1376,,,,True
1377,,,,True
1378,,,,True
1379,,,,True
1380,,,,True
1381,,,,True
1382,,,,True
1383,,,,True
1384,,,,True
1385,,,,True
1386,,,,True
1387,,,,True
1388,,,,True
1389,,,,True
1390,0.026,50.0,0.026,True
1391,,,,True
1392,,,,True
1393,,,,True
1394,0.034,50.0,0.034,True
1395,,,,True
1396,,,,True
1397,,,,True
1398,0.039,50.0,0.039,True
1399,,,,True
1400,,,,True
1401,,,,True
1402,0.043,50.0,0.043,True
1403,,,,True
1404,,,,True
1405,,,,True
1406,0.045,50.0,0.045,True
1407,,,,True
1408,,,,True
1409,,,,True
1410,0.016,50.0,0.016,True
1411,,,,True
1412,,,,True
1413,,,,True
1414,0.019,50.0,0.019,True
1415,,,,True
1416,,,,True
1417,,,,True
1418,0.028,50.0,0.028,True
1419,,,,True
1420,,,,True
1421,,,,True
1422,0.035,50.0,0.035,True
1423,,,,True
1424,,,,True
1425,,,,True
1426,0.031,50.0,0.031,True
1427,,,,True
1428,,,,True
1429,,,,True
1430,0.036,50.0,0.036,True
1431,,,,True
1432,,,,True
1433,,,,True
1434,0.077,20.0,0.077,True
1435,,,,True
1436,,,,True
1437,,,,True
1438,0.021,50.0,0.021,True
1439,,,,True
1440,,,,True
1441,,,,True
1442,0.018,50.0,0.018,True
1443,,,,True
1444,,,,True
1445,,,,True
1446,0.017,50.0,0.017,True
1447,,,,True
1448,,,,True
1449,,,,True
1450,0.026,50.0,0.026,True
1451,,,,True
1452,,,,True
1453,,,,True
1454,0.019,50.0,0.019,True
1455,,,,True
1456,,,,True
1457,,,,True
1458,0.047,50.0,0.047,True
1459,,,,True
1460,,,,True
1461,,,,True
