bb_idx,MT_deepHLApan,WT_deepHLApan
421,0.0694,0.0528
422,0.0362,0.0548
423,0.9727,0.9752
424,0.9942,0.9951
425,0.0346,0.0627
426,0.1554,0.1355
427,0.9818,0.9863
428,0.9931,0.9936
429,0.1172,0.306
430,0.0697,0.0642
431,0.967,0.9483
432,0.9895,0.9784
433,0.0351,0.0351
434,0.1487,0.1487
435,0.9757,0.9757
436,0.9816,0.9816
437,0.5182,0.5182
438,0.2423,0.2423
439,0.9464,0.9464
440,0.9921,0.9921
441,0.055,0.055
442,0.0615,0.0615
443,0.9509,0.9509
444,0.9862,0.9862
445,0.0144,0.0144
446,0.0107,0.0107
447,0.914,0.914
448,0.9831,0.9831
449,0.0508,0.0508
450,0.1688,0.1688
451,0.8829,0.8829
452,0.9729,0.9729
453,0.0069,0.1364
454,0.1562,0.273
455,0.8896,0.9394
456,0.9676,0.978
457,0.274,0.3474
458,0.0763,0.138
459,0.9144,0.949
460,0.975,0.9845
461,0.1777,0.2065
462,0.0129,0.0302
463,0.7683,0.8529
464,0.9603,0.981
465,0.0098,0.0033
466,0.0042,0.008
467,0.7238,0.7885
468,0.9786,0.9863
469,0.0027,0.0026
470,0.0044,0.0116
471,0.7988,0.9249
472,0.9696,0.9905
473,0.016,0.0317
474,0.003,0.0091
475,0.8106,0.9184
476,0.983,0.9912
477,0.1704,0.1045
478,0.007,0.0086
479,0.8705,0.9131
480,0.9897,0.994
481,0.1437,0.0605
482,0.0542,0.0518
483,0.9568,0.9781
484,0.9902,0.9953
485,0.1263,0.1616
486,0.1902,0.093
487,0.9734,0.9637
488,0.9902,0.9866
489,0.056,0.2939
490,0.1556,0.0757
491,0.9376,0.8988
492,0.9882,0.9678
493,0.1912,0.1912
494,0.412,0.412
495,0.9744,0.9744
496,0.9868,0.9868
497,0.2314,0.2314
498,0.0717,0.0717
499,0.9425,0.9425
500,0.9879,0.9879
501,0.0057,0.0057
502,0.0085,0.0085
503,0.8906,0.8906
504,0.9801,0.9801
505,0.0028,0.074
506,0.1125,0.2298
507,0.8424,0.9115
508,0.9665,0.9755
509,0.2574,0.359
510,0.2356,0.2883
511,0.9191,0.9534
512,0.9773,0.9825
513,0.1934,0.2335
514,0.0697,0.1191
515,0.9242,0.9489
516,0.9815,0.9812
517,0.1061,0.0212
518,0.0089,0.007
519,0.6677,0.7307
520,0.9613,0.9845
521,0.1421,0.0953
522,0.0104,0.0118
523,0.7571,0.8164
524,0.9729,0.9833
525,0.0037,0.0042
526,0.0035,0.0091
527,0.8332,0.9384
528,0.9825,0.9925
529,0.0362,0.0731
530,0.0059,0.0146
531,0.8626,0.9483
532,0.9857,0.9921
533,0.2989,0.1869
534,0.0394,0.0405
535,0.8327,0.9584
536,0.974,0.9948
537,0.3736,0.2789
538,0.1709,0.1469
539,0.9312,0.9392
540,0.99,0.9947
541,0.0514,0.1819
542,0.2281,0.1309
543,0.9743,0.9477
544,0.9911,0.9857
545,0.2221,0.4773
546,0.433,0.3331
547,0.969,0.9272
548,0.9921,0.9839
549,0.0494,0.0494
550,0.3344,0.3344
551,0.9554,0.9554
552,0.9871,0.9871
553,0.0374,0.0374
554,0.011,0.011
555,0.8632,0.8632
556,0.9833,0.9833
557,0.2083,0.2254
558,0.3286,0.3229
559,0.8847,0.922
560,0.9813,0.9814
561,0.187,0.2024
562,0.2458,0.3192
563,0.9336,0.9524
564,0.9778,0.9838
565,0.0994,0.0349
566,0.0711,0.0479
567,0.8968,0.9195
568,0.9793,0.9855
569,0.2523,0.2613
570,0.1005,0.05
571,0.7704,0.7226
572,0.9667,0.9776
573,0.193,0.1925
574,0.0105,0.0096
575,0.7928,0.839
576,0.9806,0.9793
577,0.0069,0.007
578,0.0067,0.0148
579,0.8819,0.9641
580,0.9852,0.994
581,0.1971,0.1012
582,0.1328,0.147
583,0.8863,0.9732
584,0.9865,0.9947
585,0.5083,0.3809
586,0.1871,0.1743
587,0.8634,0.9226
588,0.9886,0.9944
589,0.3719,0.3971
590,0.3005,0.2669
591,0.9315,0.9127
592,0.9937,0.9932
593,0.3269,0.5088
594,0.6196,0.4602
595,0.9806,0.9668
596,0.9952,0.9907
597,0.2307,0.4166
598,0.4591,0.2566
599,0.9555,0.9192
600,0.9922,0.9843
601,0.0428,0.0428
602,0.1443,0.1443
603,0.9226,0.9226
604,0.988,0.988
605,0.25,0.1227
606,0.4305,0.3852
607,0.9307,0.9166
608,0.9831,0.9838
609,0.1699,0.0849
610,0.3875,0.2365
611,0.9467,0.9496
612,0.9898,0.9915
613,0.413,0.3656
614,0.4435,0.2883
615,0.8891,0.9092
616,0.9878,0.9904
617,0.2429,0.2301
618,0.0869,0.0555
619,0.7803,0.7798
620,0.9708,0.9846
621,0.2063,0.1966
622,0.0284,0.0148
623,0.8466,0.8718
624,0.9853,0.9869
625,0.2385,0.1344
626,0.2485,0.3096
627,0.8897,0.9887
628,0.9848,0.9974
629,0.5006,0.3143
630,0.4148,0.4061
631,0.9314,0.9752
632,0.9887,0.9951
633,0.854,0.6681
634,0.4989,0.4228
635,0.9271,0.951
636,0.9955,0.9974
637,0.6525,0.5133
638,0.724,0.5618
639,0.9737,0.9638
640,0.9975,0.996
641,0.3662,0.6003
642,0.6949,0.5622
643,0.985,0.9753
644,0.997,0.9938
645,0.3336,0.4215
646,0.3831,0.2924
647,0.9405,0.8868
648,0.994,0.9891
649,0.4206,0.1609
650,0.6571,0.4436
651,0.9412,0.932
652,0.988,0.9927
653,0.4873,0.4174
654,0.6923,0.528
655,0.9613,0.9575
656,0.9907,0.9933
657,0.4774,0.3484
658,0.447,0.2786
659,0.9591,0.9454
660,0.9902,0.992
661,0.4452,0.3135
662,0.2102,0.062
663,0.9034,0.847
664,0.9833,0.9907
665,0.7301,0.6503
666,0.4926,0.4755
667,0.9638,0.98
668,0.9905,0.9965
669,0.7259,0.5006
670,0.6836,0.609
671,0.978,0.994
672,0.9946,0.9979
673,0.8594,0.7343
674,0.8232,0.6041
675,0.9658,0.992
676,0.9962,0.998
677,0.9471,0.881
678,0.8242,0.737
679,0.9642,0.9738
680,0.9967,0.9963
681,0.8399,0.7774
682,0.852,0.8206
683,0.9466,0.9692
684,0.9969,0.997
685,0.4168,0.6989
686,0.8237,0.7246
687,0.9921,0.9874
688,0.9979,0.9953
689,0.0165,0.0165
690,0.0065,0.0065
691,0.9302,0.9302
692,0.9903,0.9903
693,0.0431,0.0431
694,0.0379,0.0379
695,0.9548,0.9548
696,0.9881,0.9881
697,0.0742,0.0742
698,0.0462,0.0462
699,0.9665,0.9665
700,0.9901,0.9901
701,0.0265,0.0265
702,0.0057,0.0057
703,0.8098,0.8098
704,0.9906,0.9906
705,0.0417,0.0417
706,0.2128,0.2128
707,0.9293,0.9293
708,0.9923,0.9923
709,0.0065,0.0065
710,0.2167,0.2167
711,0.9535,0.9535
712,0.9937,0.9937
713,0.0076,0.0076
714,0.0265,0.0265
715,0.9297,0.9297
716,0.993,0.993
717,0.0121,0.0121
718,0.0212,0.0212
719,0.9625,0.9625
720,0.9772,0.9772
721,0.0031,0.0031
722,0.011,0.011
723,0.9689,0.9689
724,0.9895,0.9895
725,0.0006,0.0006
726,0.0012,0.0012
727,0.8811,0.8811
728,0.9873,0.9873
729,0.0035,0.0035
730,0.0048,0.0048
731,0.9289,0.9289
732,0.9868,0.9868
733,0.1295,0.1295
734,0.0113,0.0113
735,0.8974,0.8974
736,0.9869,0.9869
737,0.1307,0.1514
738,0.0693,0.0726
739,0.9403,0.9673
740,0.9886,0.9914
741,0.4171,0.4897
742,0.1515,0.2081
743,0.9697,0.9833
744,0.9951,0.9963
745,0.0651,0.0375
746,0.0222,0.0211
747,0.92,0.9688
748,0.9902,0.9908
749,0.0781,0.0544
750,0.0246,0.0305
751,0.808,0.8526
752,0.9778,0.9873
753,0.1633,0.1134
754,0.027,0.0393
755,0.8383,0.8767
756,0.9783,0.9857
757,0.1188,0.1188
758,0.0541,0.0541
759,0.9675,0.9675
760,0.9935,0.9935
761,0.111,0.111
762,0.0403,0.0403
763,0.9055,0.9055
764,0.9837,0.9837
765,0.0058,0.0058
766,0.0308,0.0308
767,0.9659,0.9659
768,0.988,0.988
769,0.3685,0.3685
770,0.1367,0.1367
771,0.8365,0.8365
772,0.9944,0.9944
773,0.0081,0.0081
774,0.2089,0.2089
775,0.9448,0.9448
776,0.9874,0.9874
777,0.0065,0.0065
778,0.1811,0.1811
779,0.9476,0.9476
780,0.9923,0.9923
781,0.0214,0.0214
782,0.0185,0.0185
783,0.9314,0.9314
784,0.989,0.989
785,0.0023,0.0023
786,0.0572,0.0572
787,0.9534,0.9534
788,0.9636,0.9636
789,0.0007,0.0007
790,0.0057,0.0057
791,0.8923,0.8923
792,0.9846,0.9846
793,0.0017,0.0017
794,0.0066,0.0066
795,0.9212,0.9212
796,0.9852,0.9852
797,0.0422,0.0422
798,0.0113,0.0113
799,0.9275,0.9275
800,0.9876,0.9876
801,0.227,0.2239
802,0.0152,0.0134
803,0.8582,0.8837
804,0.9781,0.9815
805,0.2284,0.3259
806,0.1765,0.2079
807,0.9503,0.9773
808,0.9924,0.994
809,0.1132,0.0807
810,0.0819,0.0484
811,0.9558,0.963
812,0.9904,0.9904
813,0.0727,0.0541
814,0.0289,0.0321
815,0.9148,0.9642
816,0.99,0.991
817,0.1514,0.3118
818,0.0397,0.0495
819,0.8432,0.87
820,0.979,0.9827
821,0.1786,0.1786
822,0.0772,0.0772
823,0.9608,0.9608
824,0.9943,0.9943
825,0.0066,0.0066
826,0.0118,0.0118
827,0.9008,0.9008
828,0.9849,0.9849
829,0.1154,0.1154
830,0.3038,0.3038
831,0.9882,0.9882
832,0.9938,0.9938
833,0.1455,0.1455
834,0.2002,0.2002
835,0.8594,0.8594
836,0.9907,0.9907
837,0.01,0.01
838,0.1822,0.1822
839,0.9353,0.9353
840,0.9855,0.9855
841,0.0166,0.0166
842,0.1802,0.1802
843,0.9564,0.9564
844,0.9931,0.9931
845,0.0073,0.0073
846,0.0154,0.0154
847,0.9235,0.9235
848,0.9751,0.9751
849,0.0008,0.0008
850,0.025,0.025
851,0.8587,0.8587
852,0.9747,0.9747
853,0.0021,0.0021
854,0.0152,0.0152
855,0.9298,0.9298
856,0.9851,0.9851
857,0.0148,0.0148
858,0.0175,0.0175
859,0.9344,0.9344
860,0.9802,0.9802
861,0.0694,0.0677
862,0.0171,0.0145
863,0.9008,0.9287
864,0.9841,0.9859
865,0.3173,0.441
866,0.028,0.0344
867,0.8941,0.9176
868,0.9865,0.9925
869,0.0531,0.0397
870,0.1458,0.0839
871,0.9611,0.9697
872,0.984,0.9839
873,0.1525,0.1359
874,0.1043,0.0667
875,0.9526,0.9624
876,0.9911,0.991
877,0.1679,0.3277
878,0.0417,0.0673
879,0.9387,0.9765
880,0.9929,0.9936
881,0.1168,0.1168
882,0.024,0.024
883,0.9479,0.9479
884,0.9937,0.9937
885,0.1032,0.1032
886,0.0595,0.0595
887,0.9658,0.9658
888,0.9921,0.9921
889,0.0239,0.0239
890,0.2772,0.2772
891,0.9821,0.9821
892,0.9907,0.9907
893,0.1181,0.1181
894,0.0727,0.0727
895,0.8417,0.8417
896,0.99,0.99
897,0.0399,0.0399
898,0.1912,0.1912
899,0.9369,0.9369
900,0.9945,0.9945
901,0.008,0.008
902,0.1967,0.1967
903,0.942,0.942
904,0.9798,0.9798
905,0.0018,0.0018
906,0.0045,0.0045
907,0.7835,0.7835
908,0.984,0.984
909,0.0018,0.0018
910,0.154,0.154
911,0.8947,0.8947
912,0.9739,0.9739
913,0.0145,0.0145
914,0.0539,0.0539
915,0.9577,0.9577
916,0.9801,0.9801
917,0.0276,0.0317
918,0.0288,0.0266
919,0.8954,0.9324
920,0.9778,0.9712
921,0.1203,0.1623
922,0.0342,0.0394
923,0.9104,0.9545
924,0.9877,0.9922
925,0.1004,0.0774
926,0.0085,0.0089
927,0.7976,0.8133
928,0.9816,0.9811
929,0.075,0.0605
930,0.1623,0.0833
931,0.9578,0.9733
932,0.9856,0.9853
933,0.3752,0.4071
934,0.1676,0.1334
935,0.955,0.9775
936,0.9947,0.995
937,0.2705,0.2705
938,0.2188,0.2188
939,0.9852,0.9852
940,0.9964,0.9964
941,0.0434,0.0434
942,0.1307,0.1307
943,0.9684,0.9684
944,0.9867,0.9867
945,0.0264,0.0264
946,0.3119,0.3119
947,0.9833,0.9833
948,0.9913,0.9913
949,0.5123,0.5123
950,0.0928,0.0928
951,0.8683,0.8683
952,0.9874,0.9874
953,0.0206,0.0206
954,0.2075,0.2075
955,0.947,0.947
956,0.9852,0.9852
957,0.0047,0.0047
958,0.1847,0.1847
959,0.8305,0.8305
960,0.9853,0.9853
961,0.009,0.009
962,0.0901,0.0901
963,0.8527,0.8527
964,0.9841,0.9841
965,0.0249,0.0249
966,0.1317,0.1317
967,0.9541,0.9541
968,0.9725,0.9725
969,0.0425,0.061
970,0.0666,0.0856
971,0.9355,0.9559
972,0.9813,0.9799
973,0.0574,0.0701
974,0.0637,0.065
975,0.8902,0.9432
976,0.9853,0.9895
977,0.0419,0.036
978,0.0116,0.013
979,0.8559,0.8734
980,0.9843,0.985
981,0.1371,0.1001
982,0.0119,0.0109
983,0.8061,0.8172
984,0.9828,0.9821
985,0.1898,0.2524
986,0.2301,0.2154
987,0.9164,0.9672
988,0.9919,0.9919
989,0.3683,0.3683
990,0.4022,0.4022
991,0.9901,0.9901
992,0.9976,0.9976
993,0.0935,0.0935
994,0.1681,0.1681
995,0.9754,0.9754
996,0.9869,0.9869
997,0.4165,0.4165
998,0.8084,0.8084
999,0.993,0.993
1000,0.9966,0.9966
1001,0.5368,0.5368
1002,0.1747,0.1747
1003,0.8149,0.8149
1004,0.9844,0.9844
1005,0.0541,0.0541
1006,0.2194,0.2194
1007,0.8825,0.8825
1008,0.9929,0.9929
1009,0.0237,0.0237
1010,0.2088,0.2088
1011,0.9236,0.9236
1012,0.9917,0.9917
1013,0.1794,0.1794
1014,0.0822,0.0822
1015,0.9067,0.9067
1016,0.9874,0.9874
1017,0.1513,0.0964
1018,0.224,0.237
1019,0.9445,0.9703
1020,0.982,0.9823
1021,0.0732,0.1112
1022,0.1223,0.236
1023,0.8997,0.9512
1024,0.9881,0.9905
1025,0.0677,0.0779
1026,0.0489,0.063
1027,0.9586,0.9654
1028,0.9883,0.9902
1029,0.0561,0.0391
1030,0.0162,0.0152
1031,0.8626,0.8821
1032,0.9839,0.9854
1033,0.266,0.3264
1034,0.0613,0.0734
1035,0.7989,0.8461
1036,0.987,0.9905
1037,0.5665,0.5665
1038,0.5442,0.5442
1039,0.9919,0.9919
1040,0.9982,0.9982
1041,0.6393,0.6393
1042,0.629,0.629
1043,0.9877,0.9877
1044,0.9961,0.9961
1045,0.604,0.604
1046,0.8638,0.8638
1047,0.9946,0.9946
1048,0.9967,0.9967
1049,0.5973,0.5973
1050,0.3028,0.3028
1051,0.8379,0.8379
1052,0.9915,0.9915
1053,0.1417,0.1417
1054,0.2691,0.2691
1055,0.9472,0.9472
1056,0.9945,0.9945
1057,0.2188,0.2188
1058,0.3816,0.3816
1059,0.9688,0.9688
1060,0.9931,0.9931
1061,0.28,0.2864
1062,0.2495,0.239
1063,0.9013,0.9421
1064,0.9878,0.9911
1065,0.1945,0.1847
1066,0.2732,0.3557
1067,0.9129,0.9617
1068,0.9845,0.9876
1069,0.1635,0.1764
1070,0.2871,0.3224
1071,0.9712,0.9782
1072,0.9922,0.9929
1073,0.0673,0.0657
1074,0.0444,0.055
1075,0.9416,0.9651
1076,0.988,0.9904
1077,0.2537,0.2598
1078,0.2,0.1734
1079,0.9014,0.9387
1080,0.993,0.9936
1081,0.2608,0.2608
1082,0.033,0.033
1083,0.9575,0.9575
1084,0.9815,0.9815
1085,0.0215,0.0215
1086,0.0444,0.0444
1087,0.9194,0.9194
1088,0.9693,0.9693
1089,0.0137,0.0137
1090,0.1537,0.1537
1091,0.9351,0.9351
1092,0.9795,0.9795
1093,0.0147,0.0147
1094,0.2553,0.2553
1095,0.9512,0.9512
1096,0.9756,0.9756
1097,0.2077,0.2077
1098,0.0552,0.0552
1099,0.9516,0.9516
1100,0.9809,0.9809
1101,0.0102,0.1828
1102,0.0022,0.0292
1103,0.6848,0.8265
1104,0.9817,0.9853
1105,0.1883,0.1966
1106,0.0091,0.0201
1107,0.7901,0.8547
1108,0.9855,0.9901
1109,0.0064,0.0109
1110,0.0059,0.0924
1111,0.8496,0.9801
1112,0.9836,0.9941
1113,0.0048,0.0049
1114,0.0045,0.0214
1115,0.8023,0.9104
1116,0.9834,0.9917
1117,0.0559,0.0279
1118,0.0051,0.0062
1119,0.8313,0.8892
1120,0.9737,0.9881
1121,0.025,0.0268
1122,0.0255,0.0316
1123,0.9662,0.966
1124,0.9917,0.9936
1125,0.0252,0.0737
1126,0.0811,0.0246
1127,0.9895,0.9905
1128,0.992,0.9908
1129,0.0391,0.0824
1130,0.0644,0.0558
1131,0.9788,0.9844
1132,0.9926,0.9935
1133,0.1838,0.1838
1134,0.0785,0.0785
1135,0.9692,0.9692
1136,0.9891,0.9891
1137,0.1864,0.1864
1138,0.0847,0.0847
1139,0.9456,0.9456
1140,0.9731,0.9731
1141,0.3033,0.3033
1142,0.0859,0.0859
1143,0.9116,0.9116
1144,0.9731,0.9731
1145,0.0037,0.0037
1146,0.1902,0.1902
1147,0.877,0.877
1148,0.9765,0.9765
1149,0.1672,0.1672
1150,0.2273,0.2273
1151,0.95,0.95
1152,0.9779,0.9779
1153,0.0152,0.1945
1154,0.015,0.0866
1155,0.8936,0.9494
1156,0.9712,0.9774
1157,0.2204,0.2756
1158,0.0212,0.0368
1159,0.7879,0.8157
1160,0.9769,0.9833
1161,0.1672,0.1458
1162,0.0048,0.024
1163,0.7885,0.8932
1164,0.9833,0.9903
1165,0.0015,0.002
1166,0.0037,0.0182
1167,0.8214,0.9196
1168,0.9812,0.9931
1169,0.0111,0.0089
1170,0.0044,0.0125
1171,0.7828,0.8761
1172,0.9684,0.9893
1173,0.0686,0.0446
1174,0.0035,0.0052
1175,0.827,0.8965
1176,0.988,0.9926
1177,0.0694,0.0528
1178,0.0362,0.0548
1179,0.9727,0.9752
1180,0.9942,0.9951
1181,0.0346,0.0627
1182,0.1554,0.1355
1183,0.9818,0.9863
1184,0.9931,0.9936
1185,0.1172,0.306
1186,0.0697,0.0642
1187,0.967,0.9483
1188,0.9895,0.9784
1189,0.4352,0.4352
1190,0.149,0.149
1191,0.941,0.941
1192,0.977,0.977
1193,0.1762,0.1762
1194,0.1024,0.1024
1195,0.8311,0.8311
1196,0.9736,0.9736
1197,0.0508,0.0508
1198,0.1688,0.1688
1199,0.8829,0.8829
1200,0.9729,0.9729
1201,0.0069,0.1364
1202,0.1562,0.273
1203,0.8896,0.9394
1204,0.9676,0.978
1205,0.274,0.3474
1206,0.0763,0.138
1207,0.9144,0.949
1208,0.975,0.9845
1209,0.1777,0.2065
1210,0.0129,0.0302
1211,0.7683,0.8529
1212,0.9603,0.981
1213,0.0098,0.0033
1214,0.0042,0.008
1215,0.7238,0.7885
1216,0.9786,0.9863
1217,0.0027,0.0026
1218,0.0044,0.0116
1219,0.7988,0.9249
1220,0.9696,0.9905
1221,0.016,0.0317
1222,0.003,0.0091
1223,0.8106,0.9184
1224,0.983,0.9912
1225,0.1704,0.1045
1226,0.007,0.0086
1227,0.8705,0.9131
1228,0.9897,0.994
1229,0.1437,0.0605
1230,0.0542,0.0518
1231,0.9568,0.9781
1232,0.9902,0.9953
1233,0.1263,0.1616
1234,0.1902,0.093
1235,0.9734,0.9637
1236,0.9902,0.9866
1237,0.3474,0.3474
1238,0.1597,0.1597
1239,0.9255,0.9255
1240,0.9757,0.9757
1241,0.358,0.358
1242,0.0965,0.0965
1243,0.8128,0.8128
1244,0.9634,0.9634
1245,0.0028,0.074
1246,0.1125,0.2298
1247,0.8424,0.9115
1248,0.9665,0.9755
1249,0.2574,0.359
1250,0.2356,0.2883
1251,0.9191,0.9534
1252,0.9773,0.9825
1253,0.1934,0.2335
1254,0.0697,0.1191
1255,0.9242,0.9489
1256,0.9815,0.9812
1257,0.1061,0.0212
1258,0.0089,0.007
1259,0.6677,0.7307
1260,0.9613,0.9845
1261,0.1421,0.0953
1262,0.0104,0.0118
1263,0.7571,0.8164
1264,0.9729,0.9833
1265,0.0037,0.0042
1266,0.0035,0.0091
1267,0.8332,0.9384
1268,0.9825,0.9925
1269,0.0362,0.0731
1270,0.0059,0.0146
1271,0.8626,0.9483
1272,0.9857,0.9921
1273,0.2989,0.1869
1274,0.0394,0.0405
1275,0.8327,0.9584
1276,0.974,0.9948
1277,0.3736,0.2789
1278,0.1709,0.1469
1279,0.9312,0.9392
1280,0.99,0.9947
1281,0.4044,0.4044
1282,0.1674,0.1674
1283,0.8676,0.8676
1284,0.9728,0.9728
1285,0.2072,0.3847
1286,0.0485,0.1318
1287,0.8364,0.8662
1288,0.9816,0.9748
1289,0.2083,0.2254
1290,0.3286,0.3229
1291,0.8847,0.922
1292,0.9813,0.9814
1293,0.187,0.2024
1294,0.2458,0.3192
1295,0.9336,0.9524
1296,0.9778,0.9838
1297,0.0994,0.0349
1298,0.0711,0.0479
1299,0.8968,0.9195
1300,0.9793,0.9855
1301,0.2523,0.2613
1302,0.1005,0.05
1303,0.7704,0.7226
1304,0.9667,0.9776
1305,0.193,0.1925
1306,0.0105,0.0096
1307,0.7928,0.839
1308,0.9806,0.9793
1309,0.0069,0.007
1310,0.0067,0.0148
1311,0.8819,0.9641
1312,0.9852,0.994
1313,0.1971,0.1012
1314,0.1328,0.147
1315,0.8863,0.9732
1316,0.9865,0.9947
1317,0.5083,0.3809
1318,0.1871,0.1743
1319,0.8634,0.9226
1320,0.9886,0.9944
1321,0.518,0.4481
1322,0.2943,0.2774
1323,0.9053,0.8831
1324,0.9953,0.9833
1325,0.6685,0.5615
1326,0.5552,0.3391
1327,0.8963,0.8411
1328,0.9859,0.9777
1329,0.25,0.1227
1330,0.4305,0.3852
1331,0.9307,0.9166
1332,0.9831,0.9838
1333,0.1699,0.0849
1334,0.3875,0.2365
1335,0.9467,0.9496
1336,0.9898,0.9915
1337,0.413,0.3656
1338,0.4435,0.2883
1339,0.8891,0.9092
1340,0.9878,0.9904
1341,0.2429,0.2301
1342,0.0869,0.0555
1343,0.7803,0.7798
1344,0.9708,0.9846
1345,0.2063,0.1966
1346,0.0284,0.0148
1347,0.8466,0.8718
1348,0.9853,0.9869
1349,0.2385,0.1344
1350,0.2485,0.3096
1351,0.8897,0.9887
1352,0.9848,0.9974
1353,0.5006,0.3143
1354,0.4148,0.4061
1355,0.9314,0.9752
1356,0.9887,0.9951
1357,0.827,0.7156
1358,0.8214,0.6154
1359,0.8831,0.8476
1360,0.9919,0.9866
1361,0.7055,0.6687
1362,0.6336,0.4406
1363,0.9345,0.9031
1364,0.9879,0.9844
1365,0.4206,0.1609
1366,0.6571,0.4436
1367,0.9412,0.932
1368,0.988,0.9927
1369,0.4873,0.4174
1370,0.6923,0.528
1371,0.9613,0.9575
1372,0.9907,0.9933
1373,0.4774,0.3484
1374,0.447,0.2786
1375,0.9591,0.9454
1376,0.9902,0.992
1377,0.4452,0.3135
1378,0.2102,0.062
1379,0.9034,0.847
1380,0.9833,0.9907
1381,0.7301,0.6503
1382,0.4926,0.4755
1383,0.9638,0.98
1384,0.9905,0.9965
1385,0.7259,0.5006
1386,0.6836,0.609
1387,0.978,0.994
1388,0.9946,0.9979
1389,0.1022,0.0274
1390,0.1917,0.0392
1391,0.9647,0.9167
1392,0.9855,0.9757
1393,0.1325,0.0136
1394,0.1152,0.0244
1395,0.9548,0.9333
1396,0.9861,0.9726
1397,0.3979,0.3987
1398,0.6012,0.4186
1399,0.855,0.9169
1400,0.9869,0.9803
1401,0.7157,0.5904
1402,0.8108,0.6556
1403,0.9406,0.9752
1404,0.9914,0.9889
1405,0.1562,0.1964
1406,0.3016,0.2584
1407,0.9561,0.9342
1408,0.9876,0.9734
1409,0.3916,0.3916
1410,0.8227,0.8227
1411,0.967,0.967
1412,0.9924,0.9924
1413,0.4377,0.4377
1414,0.7702,0.7702
1415,0.9751,0.9751
1416,0.9921,0.9921
1417,0.2575,0.2575
1418,0.4576,0.4576
1419,0.9795,0.9795
1420,0.9927,0.9927
1421,0.1034,0.0203
1422,0.096,0.0296
1423,0.9414,0.9142
1424,0.9832,0.9752
1425,0.2758,0.2313
1426,0.5254,0.4163
1427,0.9022,0.903
1428,0.9834,0.9746
1429,0.5725,0.5003
1430,0.8217,0.6043
1431,0.8789,0.9422
1432,0.9859,0.9798
1433,0.1374,0.0974
1434,0.3872,0.3044
1435,0.9352,0.9661
1436,0.9875,0.9802
1437,0.4687,0.4954
1438,0.7513,0.6731
1439,0.9613,0.9009
1440,0.9912,0.9854
1441,0.5862,0.5862
1442,0.8647,0.8647
1443,0.9773,0.9773
1444,0.9926,0.9926
1445,0.3073,0.3073
1446,0.6148,0.6148
1447,0.9829,0.9829
1448,0.9941,0.9941
1449,0.2438,0.2863
1450,0.5307,0.4137
1451,0.9221,0.9157
1452,0.9822,0.9804
1453,0.4539,0.2467
1454,0.7617,0.6397
1455,0.9161,0.875
1456,0.9849,0.9769
1457,0.1272,0.0682
1458,0.3594,0.2808
1459,0.934,0.9595
1460,0.9848,0.9656
1461,0.5177,0.4683
1462,0.8151,0.6771
1463,0.9292,0.9658
1464,0.9878,0.9849
1465,0.6703,0.8393
1466,0.8547,0.8228
